,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
161,177,162,Summer Of '69,Bryan Adams,66272,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa,1,178,6N1EjQjnvhOjFrF6oUmGPa,0.505,0.71,0.0115,https://api.spotify.com/v1/audio-analysis/6N1EjQjnvhOjFrF6oUmGPa,216973,6N1EjQjnvhOjFrF6oUmGPa,2.58e-06,2,0.0977,-10.853,1,0.0371,138.907,4,https://api.spotify.com/v1/tracks/6N1EjQjnvhOjFrF6oUmGPa,audio_features,spotify:track:6N1EjQjnvhOjFrF6oUmGPa,0.771,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']"
162,178,163,In the End,Linkin Park,65233,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,1,179,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,0.00958,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,216880,60a0Rd6pjrkxjPbaKzXjfq,0.0,3,0.209,-5.87,0,0.0584,105.143,4,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,audio_features,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,0.4,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
163,179,164,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,64530,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL,1,180,5zFglKYiknIxks8geR8rcL,0.713,0.676,0.0377,https://api.spotify.com/v1/audio-analysis/5zFglKYiknIxks8geR8rcL,227395,5zFglKYiknIxks8geR8rcL,0.0,10,0.154,-5.483,1,0.027,99.048,4,https://api.spotify.com/v1/tracks/5zFglKYiknIxks8geR8rcL,audio_features,spotify:track:5zFglKYiknIxks8geR8rcL,0.721,"['pop', 'pop rock']"
165,180,166,Marea (We’ve Lost Dancing),Fred again..,64344,https://open.spotify.com/track/5Z8Dj3LtbyCMiwE86rhg2f,1,181,5Z8Dj3LtbyCMiwE86rhg2f,0.761,0.781,0.0681,https://api.spotify.com/v1/audio-analysis/5Z8Dj3LtbyCMiwE86rhg2f,285375,5Z8Dj3LtbyCMiwE86rhg2f,0.108,5,0.0607,-6.778,0,0.141,123.023,4,https://api.spotify.com/v1/tracks/5Z8Dj3LtbyCMiwE86rhg2f,audio_features,spotify:track:5Z8Dj3LtbyCMiwE86rhg2f,0.473,[]
166,181,167,MAMA WEISS,OMAR,64231,https://open.spotify.com/track/6inbrNAhfE0Oj6uiFWPDNd,1,182,6inbrNAhfE0Oj6uiFWPDNd,0.71,0.707,0.176,https://api.spotify.com/v1/audio-analysis/6inbrNAhfE0Oj6uiFWPDNd,149373,6inbrNAhfE0Oj6uiFWPDNd,0.0,8,0.121,-6.305,1,0.151,102.857,4,https://api.spotify.com/v1/tracks/6inbrNAhfE0Oj6uiFWPDNd,audio_features,spotify:track:6inbrNAhfE0Oj6uiFWPDNd,0.362,"['alternative r&b', 'bedroom pop', 'bedroom soul', 'chill r&b', 'indie r&b', 'pop', 'r&b']"
168,182,169,Rise,Lost Frequencies,63835,https://open.spotify.com/track/7HXBG0W8gFJwHUh5mVF9tf,1,183,7HXBG0W8gFJwHUh5mVF9tf,0.689,0.612,0.228,https://api.spotify.com/v1/audio-analysis/7HXBG0W8gFJwHUh5mVF9tf,193018,7HXBG0W8gFJwHUh5mVF9tf,7.77e-06,6,0.368,-6.014,1,0.0387,122.076,4,https://api.spotify.com/v1/tracks/7HXBG0W8gFJwHUh5mVF9tf,audio_features,spotify:track:7HXBG0W8gFJwHUh5mVF9tf,0.461,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']"
170,183,171,Low (feat. T-Pain),Flo Rida,63432,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J,1,184,0CAfXk7DXMnon4gLudAp7J,0.918,0.609,0.0928,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,231400,0CAfXk7DXMnon4gLudAp7J,0.0,10,0.139,-5.64,0,0.0791,128.008,4,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,audio_features,spotify:track:0CAfXk7DXMnon4gLudAp7J,0.304,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
171,184,172,Monsta,Culcha Candela,63406,https://open.spotify.com/track/3iFsdb71xztvfegAkH2tAL,1,185,3iFsdb71xztvfegAkH2tAL,0.843,0.8,0.179,https://api.spotify.com/v1/audio-analysis/3iFsdb71xztvfegAkH2tAL,196120,3iFsdb71xztvfegAkH2tAL,0.0,1,0.118,-4.061,1,0.0336,133.026,4,https://api.spotify.com/v1/tracks/3iFsdb71xztvfegAkH2tAL,audio_features,spotify:track:3iFsdb71xztvfegAkH2tAL,0.961,"['dance pop', 'german pop', 'partyschlager', 'pop rap']"
172,185,173,Close Your Eyes,Felix Jaehn,63266,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6,1,186,7N06jo3EnV792VFaG8vuW6,0.818,0.823,0.0663,https://api.spotify.com/v1/audio-analysis/7N06jo3EnV792VFaG8vuW6,160794,7N06jo3EnV792VFaG8vuW6,1.17e-05,11,0.133,-3.563,0,0.2,128.136,4,https://api.spotify.com/v1/tracks/7N06jo3EnV792VFaG8vuW6,audio_features,spotify:track:7N06jo3EnV792VFaG8vuW6,0.52,"['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'pop dance', 'tropical house']"
174,186,175,Dynamite,Taio Cruz,63009,https://open.spotify.com/track/2CEgGE6aESpnmtfiZwYlbV,1,187,2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,0.00379,https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV,202613,2CEgGE6aESpnmtfiZwYlbV,0.0,4,0.036,-3.724,1,0.0859,119.975,4,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,audio_features,spotify:track:2CEgGE6aESpnmtfiZwYlbV,0.816,"['dance pop', 'edm', 'pop', 'pop rap']"
175,187,176,Lost (feat. TOPIC42),Samra,62531,https://open.spotify.com/track/6ScxCBZE1yKr8Y0Ynl7kTl,1,188,6ScxCBZE1yKr8Y0Ynl7kTl,0.738,0.85,0.0493,https://api.spotify.com/v1/audio-analysis/6ScxCBZE1yKr8Y0Ynl7kTl,141387,6ScxCBZE1yKr8Y0Ynl7kTl,3.05e-05,10,0.229,-2.925,0,0.129,93.916,4,https://api.spotify.com/v1/tracks/6ScxCBZE1yKr8Y0Ynl7kTl,audio_features,spotify:track:6ScxCBZE1yKr8Y0Ynl7kTl,0.341,['german hip hop']
176,188,177,Remember,Becky Hill,62436,https://open.spotify.com/track/4laAKIq9ZxBCwf99rauPYb,1,189,4laAKIq9ZxBCwf99rauPYb,0.612,0.862,0.041,https://api.spotify.com/v1/audio-analysis/4laAKIq9ZxBCwf99rauPYb,160766,4laAKIq9ZxBCwf99rauPYb,0.0,8,0.0907,-2.903,1,0.037,123.849,4,https://api.spotify.com/v1/tracks/4laAKIq9ZxBCwf99rauPYb,audio_features,spotify:track:4laAKIq9ZxBCwf99rauPYb,0.354,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'pop house', 'tropical house', 'uk dance', 'uk pop']"
177,189,178,Wake Me Up,Avicii,62434,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2,1,190,0nrRP2bk19rLc0orkWPQk2,0.532,0.783,0.0038,https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2,247427,0nrRP2bk19rLc0orkWPQk2,0.0012,2,0.161,-5.697,1,0.0523,124.08,4,https://api.spotify.com/v1/tracks/0nrRP2bk19rLc0orkWPQk2,audio_features,spotify:track:0nrRP2bk19rLc0orkWPQk2,0.643,"['dance pop', 'edm', 'pop', 'pop dance']"
178,190,179,Ferrari Rot,Ano,62424,https://open.spotify.com/track/6VASKjLopSNomy7yfchdvW,1,191,6VASKjLopSNomy7yfchdvW,0.779,0.606,0.488,https://api.spotify.com/v1/audio-analysis/6VASKjLopSNomy7yfchdvW,130000,6VASKjLopSNomy7yfchdvW,0.0,8,0.123,-6.86,0,0.236,90.922,4,https://api.spotify.com/v1/tracks/6VASKjLopSNomy7yfchdvW,audio_features,spotify:track:6VASKjLopSNomy7yfchdvW,0.677,"['reggaeton', 'reggaeton flow', 'trap latino']"
182,191,183,Live & Direct,Megaloh,60447,https://open.spotify.com/track/0EgYptyPtUF313QpHXSaga,1,192,0EgYptyPtUF313QpHXSaga,0.605,0.869,0.156,https://api.spotify.com/v1/audio-analysis/0EgYptyPtUF313QpHXSaga,294268,0EgYptyPtUF313QpHXSaga,0.0,9,0.333,-3.504,0,0.366,178.108,4,https://api.spotify.com/v1/tracks/0EgYptyPtUF313QpHXSaga,audio_features,spotify:track:0EgYptyPtUF313QpHXSaga,0.893,['german hip hop']
183,192,184,you broke me first,Tate McRae,60411,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,1,193,45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,0.785,https://api.spotify.com/v1/audio-analysis/45bE4HXI0AwGZXfZtMp8JR,169266,45bE4HXI0AwGZXfZtMp8JR,0.0,4,0.0906,-9.389,1,0.05,124.148,4,https://api.spotify.com/v1/tracks/45bE4HXI0AwGZXfZtMp8JR,audio_features,spotify:track:45bE4HXI0AwGZXfZtMp8JR,0.0823,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
185,193,186,Smells Like Teen Spirit,Nirvana,60114,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf,1,194,1f3yAtsJtY87CTmM8RLnxf,0.502,0.912,2.55e-05,https://api.spotify.com/v1/audio-analysis/1f3yAtsJtY87CTmM8RLnxf,301920,1f3yAtsJtY87CTmM8RLnxf,0.000173,1,0.106,-4.556,1,0.0564,116.761,4,https://api.spotify.com/v1/tracks/1f3yAtsJtY87CTmM8RLnxf,audio_features,spotify:track:1f3yAtsJtY87CTmM8RLnxf,0.72,"['alternative rock', 'grunge', 'permanent wave', 'rock']"
189,194,190,Riptide,Vance Joy,59454,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm,1,195,7yq4Qj7cqayVTp3FF9CWbm,0.484,0.731,0.431,https://api.spotify.com/v1/audio-analysis/7yq4Qj7cqayVTp3FF9CWbm,204280,7yq4Qj7cqayVTp3FF9CWbm,0.0,1,0.151,-6.694,1,0.0379,101.654,4,https://api.spotify.com/v1/tracks/7yq4Qj7cqayVTp3FF9CWbm,audio_features,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,0.51,"['folk-pop', 'modern rock', 'pop', 'pop rock']"
190,195,191,BOUNCE,KALIM,59430,https://open.spotify.com/track/1SVI1xBJz23bUK3HrX8Kka,1,196,1SVI1xBJz23bUK3HrX8Kka,0.87,0.894,0.0185,https://api.spotify.com/v1/audio-analysis/1SVI1xBJz23bUK3HrX8Kka,128106,1SVI1xBJz23bUK3HrX8Kka,0.0,3,0.127,-7.409,1,0.232,99.913,4,https://api.spotify.com/v1/tracks/1SVI1xBJz23bUK3HrX8Kka,audio_features,spotify:track:1SVI1xBJz23bUK3HrX8Kka,0.599,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']"
191,196,192,Early In The Morning,Kris Kross Amsterdam,59294,https://open.spotify.com/track/2R9nfayl1NXhuAdEpwG2Qa,1,197,2R9nfayl1NXhuAdEpwG2Qa,0.786,0.679,0.021,https://api.spotify.com/v1/audio-analysis/2R9nfayl1NXhuAdEpwG2Qa,172373,2R9nfayl1NXhuAdEpwG2Qa,0.0,0,0.0433,-5.402,1,0.0339,104.979,4,https://api.spotify.com/v1/tracks/2R9nfayl1NXhuAdEpwG2Qa,audio_features,spotify:track:2R9nfayl1NXhuAdEpwG2Qa,0.673,"['dutch house', 'dutch pop']"
192,197,193,In My Mind,Dynoro,58879,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,1,198,0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,0.176,https://api.spotify.com/v1/audio-analysis/0E9ZjEAyAwOXZ7wJC0PD33,184560,0E9ZjEAyAwOXZ7wJC0PD33,1.1e-05,6,0.118,-5.335,1,0.149,125.905,4,https://api.spotify.com/v1/tracks/0E9ZjEAyAwOXZ7wJC0PD33,audio_features,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,0.163,"['edm', 'electro house', 'pop dance', 'tropical house']"
196,198,197,Jerusalema (feat. Nomcebo Zikode),Master KG,57616,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi,1,199,2MlOUXmcofMackX3bxfSwi,0.88,0.483,0.0185,https://api.spotify.com/v1/audio-analysis/2MlOUXmcofMackX3bxfSwi,342613,2MlOUXmcofMackX3bxfSwi,8.68e-06,1,0.0607,-7.012,1,0.0505,124.009,4,https://api.spotify.com/v1/tracks/2MlOUXmcofMackX3bxfSwi,audio_features,spotify:track:2MlOUXmcofMackX3bxfSwi,0.827,['south african house']
198,199,199,Monet,Alligatoah,57498,https://open.spotify.com/track/2vS1HmVoOpvWeFKf7HnWdJ,1,200,2vS1HmVoOpvWeFKf7HnWdJ,0.852,0.795,0.154,https://api.spotify.com/v1/audio-analysis/2vS1HmVoOpvWeFKf7HnWdJ,186299,2vS1HmVoOpvWeFKf7HnWdJ,0.0,7,0.192,-4.142,1,0.0862,97.029,4,https://api.spotify.com/v1/tracks/2vS1HmVoOpvWeFKf7HnWdJ,audio_features,spotify:track:2vS1HmVoOpvWeFKf7HnWdJ,0.931,['german pop']
