,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
86,WAVEBODY,"JP THE WAVY",47227,https://open.spotify.com/track/2N2qxWPU60swo6fm1SnOgr
87,まちがいさがし,"Masaki Suda",47145,https://open.spotify.com/track/55Ww4Pa1iIQMhh0MLMetjo
88,インフェルノ,"Mrs. GREEN APPLE",46408,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
89,"華奢なリップ (feat. ちゃんみな)","Genie High",45662,https://open.spotify.com/track/0wOkiindak4Dx5e4CuylaP
90,ヘビースモーク,にしな,44911,https://open.spotify.com/track/2RYRnaB7ekhnBpRFl3nZdG
91,夜のピエロ,Ado,43850,https://open.spotify.com/track/59bPgyrdKgjWkcjxcYoaox
92,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",42828,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
93,香水,Eito,42729,https://open.spotify.com/track/786dSB84yrSaICJwCT7VxP
94,なないろ,"BUMP OF CHICKEN",42710,https://open.spotify.com/track/1k1zTwX433BlwP6FLOPBpD
95,Universe,"Official HIGE DANdism",42321,https://open.spotify.com/track/6KLaKHxwJE3CZECVJLH4cN
96,"Levitating (feat. DaBaby)","Dua Lipa",42274,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
97,"TEENAGE VIBE",kZm,41781,https://open.spotify.com/track/0X5j6Fw8077d74Q1WtyiqF
98,"I CAN'T STOP ME",TWICE,41720,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
99,カーテンコール,yama,40991,https://open.spotify.com/track/5EBkv7Vl47e674Yi6Gk7zi
100,ブルーベリー・ナイツ,"Macaroni Empitsu",40641,https://open.spotify.com/track/2UdvMWk0Z83lMJPbawy2Sm
101,"Wherever you are","ONE OK ROCK",40532,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
102,ON,BTS,40349,https://open.spotify.com/track/3cbLHmmEPvTgHKvl53WYiy
103,"HAPPY BIRTHDAY","back number",40151,https://open.spotify.com/track/4FMz2RFrbDGzJO7K4D0vS3
104,"Presence IV",STUTS,39866,https://open.spotify.com/track/1oyv2lh8H3dI27aGV1OgPC
105,benefits,Vaundy,39546,https://open.spotify.com/track/3kbJ7RL0v0Qm6GQ9hbac3i
106,旅路,"Fujii Kaze",39449,https://open.spotify.com/track/1EM9pvygHqQm03as6sxLg9
107,"PINK BLOOD","Hikaru Utada",39142,https://open.spotify.com/track/39lq5gU4lPc0rYVaRo0stH
108,ぎゅっと。,もさを。,39057,https://open.spotify.com/track/6nqfKM9JvQIiuAuzWZFvGW
109,ハルノヒ,Aimyon,39042,https://open.spotify.com/track/1oNeSCt0CMekCyyLo06kFs
110,星を仰ぐ,"Masaki Suda",38767,https://open.spotify.com/track/1xIytdeA5bfj2ONu4x9Mj3
111,シル・ヴ・プレジデント,P丸様｡,38594,https://open.spotify.com/track/0nW1Aes1arNyR1fzEKXS2m
112,Lights,BTS,38564,https://open.spotify.com/track/3TDUktzfYXMWjkWqwoT5F1
113,花に亡霊,ヨルシカ,38498,https://open.spotify.com/track/3FUqp10RhCmMjyyB9extmo
114,しわあわせ,Vaundy,38346,https://open.spotify.com/track/3hrxTCRmw5mjaTMQhlryIc
115,"good 4 u","Olivia Rodrigo",38227,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
116,君はロックを聴かない,Aimyon,38202,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
117,僕のこと,"Mrs. GREEN APPLE",38201,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4
118,あかるいみらい,Mom,38054,https://open.spotify.com/track/5AUqOlLEL6ZmJnsezOHGqd
119,高嶺の花子さん,"back number",37848,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
120,ヴァンパイア,DECO*27,37789,https://open.spotify.com/track/0m9QPTZzjtqCWY9Jg8poHc
121,"Build a Bitch","Bella Poarch",37649,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
122,ノーダウト,"Official HIGE DANdism",37551,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
123,"Pop Corn","BLOOM VASE",36785,https://open.spotify.com/track/0T2ccREtAzxRQLvKKWSxjH
124,DNA,BTS,36730,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
125,"Ready to love",SEVENTEEN,36725,https://open.spotify.com/track/2FymmKBuog0loCuNXMwQID
126,ワタリドリ,[Alexandros],36673,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
127,Shukumei,"Official HIGE DANdism",36631,https://open.spotify.com/track/0XaHPBAzPAC5ubwcRBqc1p
128,"Your eyes tell",BTS,36439,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz
129,Myra,"Tani Yuuki",36076,https://open.spotify.com/track/5wc4f6crkCzAvwNhoEeMhh
130,キンモクセイ,オレンジスパイニクラブ,35661,https://open.spotify.com/track/2yXTuH22VMVjFME060zJRv
131,花束のかわりにメロディーを,"Shota Shimizu",35633,https://open.spotify.com/track/2028QNsVTmp5IF7UK4ZnaE
132,Laughter,"Official HIGE DANdism",35570,https://open.spotify.com/track/1SdwlHsv8bWHbAlIw5Jfgo
133,カタコト,"sloppy dim",35511,https://open.spotify.com/track/3ck6DbwKM4maTik8s7j3s4
134,レディメイド,Ado,35440,https://open.spotify.com/track/6IP3GvRj6Rc65rly1rIHq5
135,"Shape of You","Ed Sheeran",35400,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
136,"Kiss Me More (feat. SZA)","Doja Cat",34143,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
137,閃光,[Alexandros],33967,https://open.spotify.com/track/6orDsQsMy7BaqGoRWw3fVN
138,Telepathy,BTS,33812,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne
139,Yesterday,"Official HIGE DANdism",33766,https://open.spotify.com/track/1kMlcLyljkrShV0LSdSGBz
140,"Feel Special",TWICE,33715,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj
141,ずっとずっとずっと,"Ryokuoushoku Shakai",33388,https://open.spotify.com/track/2He9deEfdXYWxnTUi0oOb0
142,"My Resort","¥ellow Bucks",33012,https://open.spotify.com/track/7p21ty59l7gtfhDX7rifLa
143,第六感,Reol,32895,https://open.spotify.com/track/22sQUmLhT8umlEhQzDrzfJ
144,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",32837,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
145,東京フラッシュ,Vaundy,32830,https://open.spotify.com/track/0jPZf5231RdBUMLFG1HqXi
146,キセキ,GReeeeN,32587,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
147,秒針を噛む,ZUTOMAYO,32542,https://open.spotify.com/track/4HgsPAX3MmMgIT60hJ4W4U
148,HANABI,Mr.Children,32503,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua
149,ピースサイン,"Kenshi Yonezu",32502,https://open.spotify.com/track/364JzOajs76bJymjHm3sVY
150,"再会 (produced by Ayase)",LiSA,32153,https://open.spotify.com/track/52IsIvHidofM9JMjw78Jyz
151,恋唄,"Shota Shimizu",31914,https://open.spotify.com/track/5xrTkg0cv5l8pF1C42NSon
152,"MONTERO (Call Me By Your Name)","Lil Nas X",31879,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
153,馬と鹿,"Kenshi Yonezu",31871,https://open.spotify.com/track/0iniTNHwqBiP4UDE1dgUpD
154,寄り酔い,和ぬか,31797,https://open.spotify.com/track/154Jycdld9dX9rBLE6L3v4
155,別の人の彼女になったよ,wacci,31147,https://open.spotify.com/track/666wLEFj1AtTNBEcErygLz
156,きらきら,もさを。,31069,https://open.spotify.com/track/5eXXJJuejAUkggSgIINU1V
157,"Romeo+Juliet -Love goes on-",HIRAIDAI,30818,https://open.spotify.com/track/3wYzd4dzWknPdgwNaPGQvg
158,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",30801,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
159,KING,Kanaria,30615,https://open.spotify.com/track/5vCNAauCaecW0tT2mZDLG9
160,アイネクライネ,"Kenshi Yonezu",30009,https://open.spotify.com/track/45YBVp6zMwQZRbUDcPzmMB
161,三文小説,"King Gnu",29706,https://open.spotify.com/track/7BMKWT0Vw0EKDELXLvuWCp
162,あーあ。,ReN,29642,https://open.spotify.com/track/5sNFmrc2sbS3LZ4WNxHFej
163,"Leave The Door Open","Bruno Mars",29443,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
164,さよならエレジー,"Masaki Suda",29387,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D
165,ロマンチシズム,"Mrs. GREEN APPLE",29379,https://open.spotify.com/track/0JcI7OdALbpSFkyKoufRYs
166,Hug,空音,29210,https://open.spotify.com/track/4cHB6U8fasfxq7XD8uNxuK
167,だから僕は音楽を辞めた,ヨルシカ,29000,https://open.spotify.com/track/5j7ixaLeGTGSv4DzKs0pCM
168,何なんw,"Fujii Kaze",28963,https://open.spotify.com/track/2Nl3vx5qRnATIckVRZxb4T
169,"Blue & Grey",BTS,28899,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl
170,IDOL,BTS,28697,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
171,チェリー,SPITZ,28633,https://open.spotify.com/track/1ihCiJaXRl4f6Sy4LJov5z
172,愛唄,GReeeeN,28526,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq
173,すきにやる,"HENTAI SHINSHI CLUB",28426,https://open.spotify.com/track/1ZAf544wBzejgwnvenHYLU
174,青春病,"Fujii Kaze",28395,https://open.spotify.com/track/4EwKtJQT2ZHKzECGH3EjLx
175,"Wasted Nights","ONE OK ROCK",28362,https://open.spotify.com/track/39LyUQIy7idLxPdsjyZsxe
176,"FAKE LOVE",BTS,28166,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
177,エメラルド,"back number",28054,https://open.spotify.com/track/0ygrzSnhdIAcxXLb5pPeNU
178,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",27997,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
179,優しさ,"Fujii Kaze",27916,https://open.spotify.com/track/0f3Ce9xjHymExIpEyHUC8D
180,RUNWAY,"PRODUCE 101 JAPAN SEASON2",27823,https://open.spotify.com/track/314FsA0pidoo1N3Y6pMcEW
181,"Presence I",STUTS,27748,https://open.spotify.com/track/1LFDJayKmDC8eGnDHWbLjv
182,そっけない,RADWIMPS,27597,https://open.spotify.com/track/2ntXQnx4ZUraj1u5Hwqjem
183,花束,"back number",27565,https://open.spotify.com/track/3QIAwtEEDOrv0g5NKCGrXZ
184,小さな恋のうた,MONGOL800,27341,https://open.spotify.com/track/23atyJacJVHvB9RHBNhr35
185,八月の陽炎,"Macaroni Empitsu",27303,https://open.spotify.com/track/06Q3gpxiTKhmkPxMh4dNiN
186,創造,"Gen Hoshino",27209,https://open.spotify.com/track/359Yw4Ng9TcH667Ct2Dj6D
187,ハッピーエンド,"back number",27172,https://open.spotify.com/track/4GqO80eGXA542oTvlYv4LS
188,"In the morning",ITZY,27118,https://open.spotify.com/track/2QdH0rKlV3d9Y6lWzcnlBH
189,パラボラ,"Official HIGE DANdism",27074,https://open.spotify.com/track/51JOzfozDdPMKxyEccRltg
190,FANCY,TWICE,26736,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
191,打上花火,DAOKO,26636,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa
192,Euphoria,BTS,26293,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0
193,オールドファッション,"back number",26246,https://open.spotify.com/track/0Xn30nT5EKFPsWvpiJ2Iav
194,ヤングアダルト,"Macaroni Empitsu",26229,https://open.spotify.com/track/3IanNVIcOMlKFr329uhNcA
195,クリスマスソング,"back number",26112,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su
196,祈り花,HIRAIDAI,26059,https://open.spotify.com/track/5G24eB35Ucu4A8MPKLNV9B
197,獣の理,"Tokyo Incidents",26013,https://open.spotify.com/track/0pUQH30znBxboQoTtmh9Oe
198,"Fly To My Room",BTS,26011,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS
199,Yessir,"¥ellow Bucks",26005,https://open.spotify.com/track/4ef665KqgZWRooxhSwtQtH
200,麻痺,yama,25971,https://open.spotify.com/track/1LwSnnsoKcAUv9TPFEZ7iQ
