,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
0,0,1,Butter,BTS,2536002,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN,16,1,2bgTY4UwhfBYhGT4HUYStN,0.759,0.459,0.00323,https://api.spotify.com/v1/audio-analysis/2bgTY4UwhfBYhGT4HUYStN,164442,2bgTY4UwhfBYhGT4HUYStN,0.0,8,0.0906,-5.187,1,0.0948,109.997,4,https://api.spotify.com/v1/tracks/2bgTY4UwhfBYhGT4HUYStN,audio_features,spotify:track:2bgTY4UwhfBYhGT4HUYStN,0.695,"['k-pop', 'k-pop boy group']"
1,1,2,Dynamite,BTS,1861471,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,16,2,4saklk6nie3yiGePpBwUoc,0.746,0.765,0.0112,https://api.spotify.com/v1/audio-analysis/4saklk6nie3yiGePpBwUoc,199054,4saklk6nie3yiGePpBwUoc,0.0,6,0.0936,-4.41,0,0.0993,114.044,4,https://api.spotify.com/v1/tracks/4saklk6nie3yiGePpBwUoc,audio_features,spotify:track:4saklk6nie3yiGePpBwUoc,0.737,"['k-pop', 'k-pop boy group']"
14,2,15,Film out,BTS,1116188,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt,16,3,3UHPGOkUcE4hE7sqBF4Snt,0.499,0.709,0.296,https://api.spotify.com/v1/audio-analysis/3UHPGOkUcE4hE7sqBF4Snt,214621,3UHPGOkUcE4hE7sqBF4Snt,0.0,10,0.331,-6.404,1,0.134,164.032,4,https://api.spotify.com/v1/tracks/3UHPGOkUcE4hE7sqBF4Snt,audio_features,spotify:track:3UHPGOkUcE4hE7sqBF4Snt,0.314,"['k-pop', 'k-pop boy group']"
3,3,4,夜に駆ける,YOASOBI,1536809,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB,10,4,6MCjmGYlw6mQVWRFVgBRvB,0.663,0.871,0.00299,https://api.spotify.com/v1/audio-analysis/6MCjmGYlw6mQVWRFVgBRvB,258840,6MCjmGYlw6mQVWRFVgBRvB,1.8e-06,8,0.337,-5.287,1,0.03,130.025,4,https://api.spotify.com/v1/tracks/6MCjmGYlw6mQVWRFVgBRvB,audio_features,spotify:track:6MCjmGYlw6mQVWRFVgBRvB,0.826,"['j-pop', 'japanese teen pop']"
5,4,6,怪物,YOASOBI,1511792,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi,10,5,06XQvnJb53SUYmlWIhUXUi,0.627,0.824,0.0699,https://api.spotify.com/v1/audio-analysis/06XQvnJb53SUYmlWIhUXUi,206000,06XQvnJb53SUYmlWIhUXUi,6.57e-05,1,0.31,-3.419,1,0.118,169.935,4,https://api.spotify.com/v1/tracks/06XQvnJb53SUYmlWIhUXUi,audio_features,spotify:track:06XQvnJb53SUYmlWIhUXUi,0.774,"['j-pop', 'japanese teen pop']"
8,5,9,群青,YOASOBI,1344933,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk,10,6,1zd35Y44Blc1CwwVbW3Qnk,0.725,0.853,0.305,https://api.spotify.com/v1/audio-analysis/1zd35Y44Blc1CwwVbW3Qnk,248027,1zd35Y44Blc1CwwVbW3Qnk,0.0,10,0.115,-3.193,1,0.0516,134.991,4,https://api.spotify.com/v1/tracks/1zd35Y44Blc1CwwVbW3Qnk,audio_features,spotify:track:1zd35Y44Blc1CwwVbW3Qnk,0.707,"['j-pop', 'japanese teen pop']"
10,6,11,もう少しだけ,YOASOBI,1262756,https://open.spotify.com/track/2pXmohBUnD5Li93sgpbPSg,10,7,2pXmohBUnD5Li93sgpbPSg,0.675,0.746,0.12,https://api.spotify.com/v1/audio-analysis/2pXmohBUnD5Li93sgpbPSg,220201,2pXmohBUnD5Li93sgpbPSg,0.0,8,0.121,-5.531,1,0.0288,99.99,4,https://api.spotify.com/v1/tracks/2pXmohBUnD5Li93sgpbPSg,audio_features,spotify:track:2pXmohBUnD5Li93sgpbPSg,0.533,"['j-pop', 'japanese teen pop']"
12,7,13,Cry Baby,Official HIGE DANdism,1187974,https://open.spotify.com/track/7vBX6cVsCPFSx2C58hpZ4f,10,8,7vBX6cVsCPFSx2C58hpZ4f,0.318,0.902,0.0116,https://api.spotify.com/v1/audio-analysis/7vBX6cVsCPFSx2C58hpZ4f,240285,7vBX6cVsCPFSx2C58hpZ4f,0.0,1,0.393,-4.605,1,0.131,199.844,4,https://api.spotify.com/v1/tracks/7vBX6cVsCPFSx2C58hpZ4f,audio_features,spotify:track:7vBX6cVsCPFSx2C58hpZ4f,0.437,"['anime', 'anime rock', 'j-pop']"
6,8,7,Pale Blue,Kenshi Yonezu,1428593,https://open.spotify.com/track/52RfEh76AVKPwtUtTV9ufl,7,9,52RfEh76AVKPwtUtTV9ufl,0.688,0.457,0.206,https://api.spotify.com/v1/audio-analysis/52RfEh76AVKPwtUtTV9ufl,296547,52RfEh76AVKPwtUtTV9ufl,1.51e-05,2,0.406,-8.635,1,0.0487,87.99,4,https://api.spotify.com/v1/tracks/52RfEh76AVKPwtUtTV9ufl,audio_features,spotify:track:52RfEh76AVKPwtUtTV9ufl,0.445,"['anime', 'j-pop']"
11,9,12,怪盗,back number,1236813,https://open.spotify.com/track/10Eyo4juZQFthKqlJgGMdp,6,10,10Eyo4juZQFthKqlJgGMdp,0.636,0.847,0.407,https://api.spotify.com/v1/audio-analysis/10Eyo4juZQFthKqlJgGMdp,196226,10Eyo4juZQFthKqlJgGMdp,0.0,7,0.295,-2.093,1,0.037,114.028,4,https://api.spotify.com/v1/tracks/10Eyo4juZQFthKqlJgGMdp,audio_features,spotify:track:10Eyo4juZQFthKqlJgGMdp,0.8,"['j-pop', 'j-rock']"
4,10,5,きらり,Fujii Kaze,1520583,https://open.spotify.com/track/3ciqhcLmXP4hVGBD98QlEj,5,11,3ciqhcLmXP4hVGBD98QlEj,0.746,0.764,0.00803,https://api.spotify.com/v1/audio-analysis/3ciqhcLmXP4hVGBD98QlEj,231883,3ciqhcLmXP4hVGBD98QlEj,0.0,2,0.357,-6.833,1,0.0462,116.982,4,https://api.spotify.com/v1/tracks/3ciqhcLmXP4hVGBD98QlEj,audio_features,spotify:track:3ciqhcLmXP4hVGBD98QlEj,0.701,"['j-pop', 'japanese teen pop']"
9,11,10,踊,Ado,1283306,https://open.spotify.com/track/7z6qHGEKxRtwtYym2epV7l,5,12,7z6qHGEKxRtwtYym2epV7l,0.707,0.965,0.15,https://api.spotify.com/v1/audio-analysis/7z6qHGEKxRtwtYym2epV7l,208271,7z6qHGEKxRtwtYym2epV7l,1.38e-06,1,0.726,-0.736,1,0.105,128.003,4,https://api.spotify.com/v1/tracks/7z6qHGEKxRtwtYym2epV7l,audio_features,spotify:track:7z6qHGEKxRtwtYym2epV7l,0.777,"['j-pop', 'japanese teen pop']"
15,12,16,うっせぇわ,Ado,1047027,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n,5,13,6EzZn96uOc9JsVGNRpx06n,0.525,0.978,0.00485,https://api.spotify.com/v1/audio-analysis/6EzZn96uOc9JsVGNRpx06n,204920,6EzZn96uOc9JsVGNRpx06n,0.0,11,0.06,-1.072,0,0.0815,178.069,4,https://api.spotify.com/v1/tracks/6EzZn96uOc9JsVGNRpx06n,audio_features,spotify:track:6EzZn96uOc9JsVGNRpx06n,0.577,"['j-pop', 'japanese teen pop']"
16,13,17,"Stand by me, Stand by you.",HIRAIDAI,1012228,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh,5,14,7DyS11kB1YNrfDzQqtjmTh,0.66,0.576,0.0879,https://api.spotify.com/v1/audio-analysis/7DyS11kB1YNrfDzQqtjmTh,193013,7DyS11kB1YNrfDzQqtjmTh,0.0,3,0.0599,-5.627,1,0.0363,80.978,4,https://api.spotify.com/v1/tracks/7DyS11kB1YNrfDzQqtjmTh,audio_features,spotify:track:7DyS11kB1YNrfDzQqtjmTh,0.561,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']"
2,14,3,ドライフラワー,優里,1821972,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J,3,15,7dH0dpi751EoguDDg3xx6J,0.463,0.624,0.426,https://api.spotify.com/v1/audio-analysis/7dH0dpi751EoguDDg3xx6J,285587,7dH0dpi751EoguDDg3xx6J,0.0,7,0.221,-5.118,1,0.0274,147.929,4,https://api.spotify.com/v1/tracks/7dH0dpi751EoguDDg3xx6J,audio_features,spotify:track:7dH0dpi751EoguDDg3xx6J,0.521,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']"
13,15,14,不思議,Gen Hoshino,1159769,https://open.spotify.com/track/6NKn02oJDkUkRa9IHbMe3n,2,16,6NKn02oJDkUkRa9IHbMe3n,0.753,0.574,0.0512,https://api.spotify.com/v1/audio-analysis/6NKn02oJDkUkRa9IHbMe3n,290000,6NKn02oJDkUkRa9IHbMe3n,3.71e-06,3,0.141,-4.57,1,0.0483,89.024,4,https://api.spotify.com/v1/tracks/6NKn02oJDkUkRa9IHbMe3n,audio_features,spotify:track:6NKn02oJDkUkRa9IHbMe3n,0.527,"['j-acoustic', 'j-pop', 'japanese singer-songwriter']"
57,16,58,Life Goes On,BTS,481230,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD,16,17,249gnXrbfmV8NG6jTEMSwD,0.566,0.716,0.00691,https://api.spotify.com/v1/audio-analysis/249gnXrbfmV8NG6jTEMSwD,207481,249gnXrbfmV8NG6jTEMSwD,0.0,1,0.37,-5.733,1,0.0424,81.068,4,https://api.spotify.com/v1/tracks/249gnXrbfmV8NG6jTEMSwD,audio_features,spotify:track:249gnXrbfmV8NG6jTEMSwD,0.45,"['k-pop', 'k-pop boy group']"
58,17,59,Boy With Luv (feat. Halsey),BTS,466592,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,16,18,5KawlOMHjWeUjQtnuRs22c,0.645,0.862,0.0923,https://api.spotify.com/v1/audio-analysis/5KawlOMHjWeUjQtnuRs22c,229773,5KawlOMHjWeUjQtnuRs22c,0.0,11,0.192,-4.757,0,0.0965,119.991,4,https://api.spotify.com/v1/tracks/5KawlOMHjWeUjQtnuRs22c,audio_features,spotify:track:5KawlOMHjWeUjQtnuRs22c,0.798,"['k-pop', 'k-pop boy group']"
64,18,65,Stay Gold,BTS,401523,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,16,19,3Ys2PYl1wyPKQIwyqhP9cQ,0.723,0.634,0.0892,https://api.spotify.com/v1/audio-analysis/3Ys2PYl1wyPKQIwyqhP9cQ,243267,3Ys2PYl1wyPKQIwyqhP9cQ,0.0,1,0.0787,-5.415,1,0.0542,129.017,4,https://api.spotify.com/v1/tracks/3Ys2PYl1wyPKQIwyqhP9cQ,audio_features,spotify:track:3Ys2PYl1wyPKQIwyqhP9cQ,0.582,"['k-pop', 'k-pop boy group']"
99,19,100,ON,BTS,279497,https://open.spotify.com/track/3cbLHmmEPvTgHKvl53WYiy,16,20,3cbLHmmEPvTgHKvl53WYiy,0.583,0.817,0.118,https://api.spotify.com/v1/audio-analysis/3cbLHmmEPvTgHKvl53WYiy,246381,3cbLHmmEPvTgHKvl53WYiy,0.0,9,0.338,-5.146,0,0.099,105.935,4,https://api.spotify.com/v1/tracks/3cbLHmmEPvTgHKvl53WYiy,audio_features,spotify:track:3cbLHmmEPvTgHKvl53WYiy,0.437,"['k-pop', 'k-pop boy group']"
103,20,104,Lights,BTS,273568,https://open.spotify.com/track/3TDUktzfYXMWjkWqwoT5F1,16,21,3TDUktzfYXMWjkWqwoT5F1,0.608,0.644,0.156,https://api.spotify.com/v1/audio-analysis/3TDUktzfYXMWjkWqwoT5F1,292853,3TDUktzfYXMWjkWqwoT5F1,0.0,5,0.124,-5.588,1,0.0314,99.005,4,https://api.spotify.com/v1/tracks/3TDUktzfYXMWjkWqwoT5F1,audio_features,spotify:track:3TDUktzfYXMWjkWqwoT5F1,0.431,"['k-pop', 'k-pop boy group']"
115,21,116,DNA,BTS,256515,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH,16,22,5SE57ljOIUJ1ybL9U6CuBH,0.598,0.775,0.022,https://api.spotify.com/v1/audio-analysis/5SE57ljOIUJ1ybL9U6CuBH,223123,5SE57ljOIUJ1ybL9U6CuBH,0.0,1,0.0677,-4.035,0,0.0545,129.819,4,https://api.spotify.com/v1/tracks/5SE57ljOIUJ1ybL9U6CuBH,audio_features,spotify:track:5SE57ljOIUJ1ybL9U6CuBH,0.687,"['k-pop', 'k-pop boy group']"
118,22,119,Your eyes tell,BTS,253644,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz,16,23,3TZ7NHkMT82AhwuYsd00Hz,0.449,0.491,0.279,https://api.spotify.com/v1/audio-analysis/3TZ7NHkMT82AhwuYsd00Hz,245147,3TZ7NHkMT82AhwuYsd00Hz,0.0,9,0.0654,-6.433,0,0.029,139.923,4,https://api.spotify.com/v1/tracks/3TZ7NHkMT82AhwuYsd00Hz,audio_features,spotify:track:3TZ7NHkMT82AhwuYsd00Hz,0.258,"['k-pop', 'k-pop boy group']"
131,23,132,Telepathy,BTS,237847,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne,16,24,2FVpOsjT1iquZ3SpCjZ9Ne,0.787,0.669,0.00782,https://api.spotify.com/v1/audio-analysis/2FVpOsjT1iquZ3SpCjZ9Ne,202313,2FVpOsjT1iquZ3SpCjZ9Ne,0.0,5,0.123,-4.333,0,0.0428,104.994,4,https://api.spotify.com/v1/tracks/2FVpOsjT1iquZ3SpCjZ9Ne,audio_features,spotify:track:2FVpOsjT1iquZ3SpCjZ9Ne,0.57,"['k-pop', 'k-pop boy group']"
151,24,152,Euphoria,BTS,217838,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0,16,25,3p6hnejEQYXkiTO1lAzVc0,0.637,0.799,0.394,https://api.spotify.com/v1/audio-analysis/3p6hnejEQYXkiTO1lAzVc0,228615,3p6hnejEQYXkiTO1lAzVc0,0.0,2,0.0921,-4.519,1,0.0338,104.995,4,https://api.spotify.com/v1/tracks/3p6hnejEQYXkiTO1lAzVc0,audio_features,spotify:track:3p6hnejEQYXkiTO1lAzVc0,0.562,"['k-pop', 'k-pop boy group']"
166,25,167,IDOL,BTS,201862,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS,16,26,2AIWoHr9DF6y4KALCBKWQS,0.734,0.855,0.00481,https://api.spotify.com/v1/audio-analysis/2AIWoHr9DF6y4KALCBKWQS,222732,2AIWoHr9DF6y4KALCBKWQS,0.0,9,0.123,-3.211,1,0.118,126.035,4,https://api.spotify.com/v1/tracks/2AIWoHr9DF6y4KALCBKWQS,audio_features,spotify:track:2AIWoHr9DF6y4KALCBKWQS,0.422,"['k-pop', 'k-pop boy group']"
