,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
0,0,1,good 4 u,Olivia Rodrigo,499173,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,7,1,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,0.335,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4ZtFanR9U6ndgddUvNcjcG,0.0,9,0.0849,-5.044,1,0.154,166.928,4,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,audio_features,spotify:track:4ZtFanR9U6ndgddUvNcjcG,0.688,['pop']
1,1,2,Beggin',Måneskin,461791,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,4,2,3Wrjm47oTz2sjIgck11l5e,0.714,0.8,0.127,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560,3Wrjm47oTz2sjIgck11l5e,0.0,11,0.359,-4.808,0,0.0504,134.002,4,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,audio_features,spotify:track:3Wrjm47oTz2sjIgck11l5e,0.589,"['indie rock italiano', 'italian pop']"
2,2,3,I WANNA BE YOUR SLAVE,Måneskin,429753,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,4,3,4pt5fDVTg5GhEvEtlz9dKk,0.75,0.608,0.00165,https://api.spotify.com/v1/audio-analysis/4pt5fDVTg5GhEvEtlz9dKk,173347,4pt5fDVTg5GhEvEtlz9dKk,0.0,1,0.178,-4.008,1,0.0387,132.507,4,https://api.spotify.com/v1/tracks/4pt5fDVTg5GhEvEtlz9dKk,audio_features,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,0.958,"['indie rock italiano', 'italian pop']"
21,3,22,DRILLA,Luciano,198545,https://open.spotify.com/track/4P9lNdUhVPhwfVxZlgjWlL,4,4,4P9lNdUhVPhwfVxZlgjWlL,0.894,0.497,0.235,https://api.spotify.com/v1/audio-analysis/4P9lNdUhVPhwfVxZlgjWlL,121447,4P9lNdUhVPhwfVxZlgjWlL,0.000696,0,0.357,-8.068,1,0.789,141.977,4,https://api.spotify.com/v1/tracks/4P9lNdUhVPhwfVxZlgjWlL,audio_features,spotify:track:4P9lNdUhVPhwfVxZlgjWlL,0.771,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']"
27,4,28,ZITTI E BUONI,Måneskin,179634,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw,4,5,776AftMmFFAWUIEAb3lHhw,0.625,0.939,0.00138,https://api.spotify.com/v1/audio-analysis/776AftMmFFAWUIEAb3lHhw,194787,776AftMmFFAWUIEAb3lHhw,0.0,4,0.424,-3.115,0,0.0669,102.999,4,https://api.spotify.com/v1/tracks/776AftMmFFAWUIEAb3lHhw,audio_features,spotify:track:776AftMmFFAWUIEAb3lHhw,0.644,"['indie rock italiano', 'italian pop']"
37,5,38,ELMAS,Luciano,159874,https://open.spotify.com/track/37yAd2kwEI9axbB6UznrOQ,4,6,37yAd2kwEI9axbB6UznrOQ,0.791,0.427,0.643,https://api.spotify.com/v1/audio-analysis/37yAd2kwEI9axbB6UznrOQ,184901,37yAd2kwEI9axbB6UznrOQ,6.17e-05,10,0.167,-7.427,0,0.158,140.055,4,https://api.spotify.com/v1/tracks/37yAd2kwEI9axbB6UznrOQ,audio_features,spotify:track:37yAd2kwEI9axbB6UznrOQ,0.38,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']"
62,6,63,KIDS FROM THE BLOCK,Luciano,114651,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF,4,7,26hbmLeqiz8loWjFshsegF,0.841,0.55,0.33,https://api.spotify.com/v1/audio-analysis/26hbmLeqiz8loWjFshsegF,176520,26hbmLeqiz8loWjFshsegF,0.0,6,0.0932,-6.534,0,0.262,109.9,4,https://api.spotify.com/v1/tracks/26hbmLeqiz8loWjFshsegF,audio_features,spotify:track:26hbmLeqiz8loWjFshsegF,0.692,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']"
6,7,7,Liege wieder wach,Jamule,302810,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa,3,8,2knDuFWczh1Wv92eBAdPTa,0.743,0.601,0.336,https://api.spotify.com/v1/audio-analysis/2knDuFWczh1Wv92eBAdPTa,176251,2knDuFWczh1Wv92eBAdPTa,2.37e-06,11,0.0902,-9.126,1,0.0615,82.009,4,https://api.spotify.com/v1/tracks/2knDuFWczh1Wv92eBAdPTa,audio_features,spotify:track:2knDuFWczh1Wv92eBAdPTa,0.445,['german hip hop']
10,8,11,Extasy,187 Strassenbande,251229,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT,3,9,79lc69ZXfL4WmJIzVSDmWT,0.863,0.739,0.0289,https://api.spotify.com/v1/audio-analysis/79lc69ZXfL4WmJIzVSDmWT,174021,79lc69ZXfL4WmJIzVSDmWT,0.0256,9,0.0931,-5.879,0,0.153,129.964,4,https://api.spotify.com/v1/tracks/79lc69ZXfL4WmJIzVSDmWT,audio_features,spotify:track:79lc69ZXfL4WmJIzVSDmWT,0.547,"['german hip hop', 'hamburg hip hop']"
35,9,36,Alles nach Plan,187 Strassenbande,165805,https://open.spotify.com/track/1fW5PpJSmPiVXAi0l92PHm,3,10,1fW5PpJSmPiVXAi0l92PHm,0.85,0.681,0.35,https://api.spotify.com/v1/audio-analysis/1fW5PpJSmPiVXAi0l92PHm,177851,1fW5PpJSmPiVXAi0l92PHm,0.0171,0,0.0824,-6.298,1,0.149,98.044,4,https://api.spotify.com/v1/tracks/1fW5PpJSmPiVXAi0l92PHm,audio_features,spotify:track:1fW5PpJSmPiVXAi0l92PHm,0.399,"['german hip hop', 'hamburg hip hop']"
