,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
0,0,1,NASA,Rack,111062,https://open.spotify.com/track/1dBqiQ1TU3MpgnR84gi1BQ,13,1,1dBqiQ1TU3MpgnR84gi1BQ,0.774,0.735,0.297,https://api.spotify.com/v1/audio-analysis/1dBqiQ1TU3MpgnR84gi1BQ,196271,1dBqiQ1TU3MpgnR84gi1BQ,0.00219,11,0.0853,-7.302,0,0.0674,117.989,4,https://api.spotify.com/v1/tracks/1dBqiQ1TU3MpgnR84gi1BQ,audio_features,spotify:track:1dBqiQ1TU3MpgnR84gi1BQ,0.4,"['country rap', 'redneck']"
3,1,4,Woo Walk,Light,32384,https://open.spotify.com/track/7zWzNwjF8nsGnQq3mJiG13,18,2,7zWzNwjF8nsGnQq3mJiG13,0.701,0.726,0.11,https://api.spotify.com/v1/audio-analysis/7zWzNwjF8nsGnQq3mJiG13,164375,7zWzNwjF8nsGnQq3mJiG13,0.0,5,0.361,-7.367,0,0.085,141.867,4,https://api.spotify.com/v1/tracks/7zWzNwjF8nsGnQq3mJiG13,audio_features,spotify:track:7zWzNwjF8nsGnQq3mJiG13,0.793,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
4,2,5,Ti Fovasai,Light,32015,https://open.spotify.com/track/5Gk1WhWoRgy9feTvLT9RWK,18,3,5Gk1WhWoRgy9feTvLT9RWK,0.638,0.565,0.0314,https://api.spotify.com/v1/audio-analysis/5Gk1WhWoRgy9feTvLT9RWK,258750,5Gk1WhWoRgy9feTvLT9RWK,0.0,9,0.115,-8.074,1,0.325,105.208,5,https://api.spotify.com/v1/tracks/5Gk1WhWoRgy9feTvLT9RWK,audio_features,spotify:track:5Gk1WhWoRgy9feTvLT9RWK,0.132,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
9,3,10,Shorty,Light,27823,https://open.spotify.com/track/6W11qt0cfGVx7ZOEYNrSYX,18,4,6W11qt0cfGVx7ZOEYNrSYX,0.792,0.609,0.0812,https://api.spotify.com/v1/audio-analysis/6W11qt0cfGVx7ZOEYNrSYX,276994,6W11qt0cfGVx7ZOEYNrSYX,0.0,1,0.239,-8.128,1,0.148,140.007,4,https://api.spotify.com/v1/tracks/6W11qt0cfGVx7ZOEYNrSYX,audio_features,spotify:track:6W11qt0cfGVx7ZOEYNrSYX,0.808,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
14,4,15,Goodfella,Light,25288,https://open.spotify.com/track/3fCMmmmbmhCbSwVQhPeTpW,18,5,3fCMmmmbmhCbSwVQhPeTpW,0.544,0.819,0.344,https://api.spotify.com/v1/audio-analysis/3fCMmmmbmhCbSwVQhPeTpW,300000,3fCMmmmbmhCbSwVQhPeTpW,0.0,11,0.0872,-6.401,1,0.441,121.605,5,https://api.spotify.com/v1/tracks/3fCMmmmbmhCbSwVQhPeTpW,audio_features,spotify:track:3fCMmmmbmhCbSwVQhPeTpW,0.417,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
15,5,16,Sonic,Light,23963,https://open.spotify.com/track/1bRw06D8CPwN7ycLIXHFbP,18,6,1bRw06D8CPwN7ycLIXHFbP,0.753,0.767,0.235,https://api.spotify.com/v1/audio-analysis/1bRw06D8CPwN7ycLIXHFbP,162687,1bRw06D8CPwN7ycLIXHFbP,0.0,11,0.273,-7.202,0,0.0969,141.975,4,https://api.spotify.com/v1/tracks/1bRw06D8CPwN7ycLIXHFbP,audio_features,spotify:track:1bRw06D8CPwN7ycLIXHFbP,0.551,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
16,6,17,Cc,Light,23379,https://open.spotify.com/track/07qyw1D9R324YyFNZGUUdl,18,7,07qyw1D9R324YyFNZGUUdl,0.942,0.424,0.455,https://api.spotify.com/v1/audio-analysis/07qyw1D9R324YyFNZGUUdl,265565,07qyw1D9R324YyFNZGUUdl,0.0,1,0.0942,-7.64,0,0.0955,115.011,4,https://api.spotify.com/v1/tracks/07qyw1D9R324YyFNZGUUdl,audio_features,spotify:track:07qyw1D9R324YyFNZGUUdl,0.695,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
19,7,20,Block,Light,21607,https://open.spotify.com/track/2j4EZlzum9PZXiZBySurpt,18,8,2j4EZlzum9PZXiZBySurpt,0.821,0.64,0.115,https://api.spotify.com/v1/audio-analysis/2j4EZlzum9PZXiZBySurpt,184800,2j4EZlzum9PZXiZBySurpt,1.22e-06,4,0.0844,-7.561,0,0.376,100.073,4,https://api.spotify.com/v1/tracks/2j4EZlzum9PZXiZBySurpt,audio_features,spotify:track:2j4EZlzum9PZXiZBySurpt,0.205,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
23,8,24,Cartier,Light,20217,https://open.spotify.com/track/2X0XWgfTRhv6RkUc1kuzcd,18,9,2X0XWgfTRhv6RkUc1kuzcd,0.754,0.598,0.199,https://api.spotify.com/v1/audio-analysis/2X0XWgfTRhv6RkUc1kuzcd,225000,2X0XWgfTRhv6RkUc1kuzcd,0.0,5,0.102,-7.148,0,0.176,122.91,4,https://api.spotify.com/v1/tracks/2X0XWgfTRhv6RkUc1kuzcd,audio_features,spotify:track:2X0XWgfTRhv6RkUc1kuzcd,0.652,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
26,9,27,Anexartita,Light,18383,https://open.spotify.com/track/61G0ze9vR455Cdze3XSWqT,18,10,61G0ze9vR455Cdze3XSWqT,0.541,0.739,0.382,https://api.spotify.com/v1/audio-analysis/61G0ze9vR455Cdze3XSWqT,211059,61G0ze9vR455Cdze3XSWqT,0.0,7,0.15,-9.02,1,0.414,77.715,4,https://api.spotify.com/v1/tracks/61G0ze9vR455Cdze3XSWqT,audio_features,spotify:track:61G0ze9vR455Cdze3XSWqT,0.651,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
