,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
0,0,1,good 4 u,Olivia Rodrigo,15040107,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,11,1,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,0.335,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4ZtFanR9U6ndgddUvNcjcG,0.0,9,0.0849,-5.044,1,0.154,166.928,4,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,audio_features,spotify:track:4ZtFanR9U6ndgddUvNcjcG,0.688,['pop']
2,1,3,deja vu,Olivia Rodrigo,8055377,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr,11,2,6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,0.584,https://api.spotify.com/v1/audio-analysis/6HU7h9RYOaPRFeh0R3UeAr,215507,6HU7h9RYOaPRFeh0R3UeAr,5.7e-06,2,0.37,-7.222,1,0.112,180.917,4,https://api.spotify.com/v1/tracks/6HU7h9RYOaPRFeh0R3UeAr,audio_features,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,0.178,['pop']
4,2,5,traitor,Olivia Rodrigo,7373018,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT,11,3,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,0.691,https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT,229227,5CZ40GBx1sQ9agT82CLQCT,0.0,3,0.12,-7.885,1,0.0338,100.607,4,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,audio_features,spotify:track:5CZ40GBx1sQ9agT82CLQCT,0.0849,['pop']
8,3,9,favorite crime,Olivia Rodrigo,5737185,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8,11,4,5JCoSi02qi3jJeHdZXMmR8,0.369,0.272,0.866,https://api.spotify.com/v1/audio-analysis/5JCoSi02qi3jJeHdZXMmR8,152667,5JCoSi02qi3jJeHdZXMmR8,0.0,9,0.147,-10.497,1,0.0364,172.929,4,https://api.spotify.com/v1/tracks/5JCoSi02qi3jJeHdZXMmR8,audio_features,spotify:track:5JCoSi02qi3jJeHdZXMmR8,0.218,['pop']
10,4,11,happier,Olivia Rodrigo,5629978,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl,11,5,2tGvwE8GcFKwNdAXMnlbfl,0.395,0.443,0.765,https://api.spotify.com/v1/audio-analysis/2tGvwE8GcFKwNdAXMnlbfl,175933,2tGvwE8GcFKwNdAXMnlbfl,9.67e-06,6,0.0839,-9.72,1,0.133,168.924,3,https://api.spotify.com/v1/tracks/2tGvwE8GcFKwNdAXMnlbfl,audio_features,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,0.338,['pop']
13,5,14,brutal,Olivia Rodrigo,5290839,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC,11,6,6SRsiMl7w1USE4mFqrOhHC,0.672,0.526,0.0311,https://api.spotify.com/v1/audio-analysis/6SRsiMl7w1USE4mFqrOhHC,143747,6SRsiMl7w1USE4mFqrOhHC,1.37e-06,4,0.28,-6.446,1,0.0599,123.999,4,https://api.spotify.com/v1/tracks/6SRsiMl7w1USE4mFqrOhHC,audio_features,spotify:track:6SRsiMl7w1USE4mFqrOhHC,0.28,['pop']
15,6,16,drivers license,Olivia Rodrigo,5075328,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH,11,7,5wANPM4fQCJwkGd4rN57mH,0.561,0.431,0.768,https://api.spotify.com/v1/audio-analysis/5wANPM4fQCJwkGd4rN57mH,242013,5wANPM4fQCJwkGd4rN57mH,1.42e-05,10,0.106,-8.81,1,0.0578,143.875,4,https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH,audio_features,spotify:track:5wANPM4fQCJwkGd4rN57mH,0.137,['pop']
18,7,19,"jealousy, jealousy",Olivia Rodrigo,4442006,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk,11,8,0MMyJUC3WNnFS1lit5pTjk,0.695,0.575,0.198,https://api.spotify.com/v1/audio-analysis/0MMyJUC3WNnFS1lit5pTjk,173160,0MMyJUC3WNnFS1lit5pTjk,0.0,10,0.0614,-6.334,0,0.116,163.929,4,https://api.spotify.com/v1/tracks/0MMyJUC3WNnFS1lit5pTjk,audio_features,spotify:track:0MMyJUC3WNnFS1lit5pTjk,0.699,['pop']
23,8,24,enough for you,Olivia Rodrigo,3834238,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e,11,9,2TOzTqQXNmR2zDJXihjZ2e,0.638,0.259,0.753,https://api.spotify.com/v1/audio-analysis/2TOzTqQXNmR2zDJXihjZ2e,202827,2TOzTqQXNmR2zDJXihjZ2e,0.0,7,0.219,-10.706,1,0.0898,88.485,4,https://api.spotify.com/v1/tracks/2TOzTqQXNmR2zDJXihjZ2e,audio_features,spotify:track:2TOzTqQXNmR2zDJXihjZ2e,0.269,['pop']
34,9,35,"1 step forward, 3 steps back",Olivia Rodrigo,3362338,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg,11,10,4wcBRRpIfesgcyUtis7PEg,0.473,0.203,0.941,https://api.spotify.com/v1/audio-analysis/4wcBRRpIfesgcyUtis7PEg,163587,4wcBRRpIfesgcyUtis7PEg,0.0,2,0.126,-12.627,1,0.102,168.884,4,https://api.spotify.com/v1/tracks/4wcBRRpIfesgcyUtis7PEg,audio_features,spotify:track:4wcBRRpIfesgcyUtis7PEg,0.419,['pop']
