,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Elle m'a dit","Dj Quick",622055,https://open.spotify.com/track/09f02rYzeovvXJ0ubL4X44
55,"Seven Nation Army",Gaullin,619356,https://open.spotify.com/track/4SCbD68sf3dBfaE2X8uDSP
56,"Jalebi Baby (Tesher x Jason Derulo)",Tesher,610264,https://open.spotify.com/track/6FvSS3Goz7OC8oCC2eWqe8
57,"Save Your Tears","The Weeknd",603395,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
58,"Follow You","Imagine Dragons",596846,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
59,"Attrape-moi si tu peux",Sofiane,573633,https://open.spotify.com/track/6LuAtG9sa0aU8GTMd9CQnO
60,"By Your Side (feat. Tom Grennan)","Calvin Harris",573220,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
61,Allo,"Marwa Loud",572128,https://open.spotify.com/track/5XRh9qvGFwy557Z9Sy8ADD
62,Cabeza,OBOY,565842,https://open.spotify.com/track/66tNDqYNR2S6Svwgm3BMi9
63,"Mendosa (feat. Ninho)",Dadinho,549847,https://open.spotify.com/track/2uo8wd7CvYhsSC8ofXp04R
64,"Je t’aime de ouf",Wejdene,546724,https://open.spotify.com/track/5BUl0EBl4tOmPtT9IN0UUP
65,"Pousse toi",Tiakola,545590,https://open.spotify.com/track/48ghUr9q4ZCKTGEGzdZJlj
66,"KASSAV (feat. Tiakola)",Gazo,544808,https://open.spotify.com/track/25PVU9aowaP69bSYRBe3sj
67,Fever,"Dua Lipa",543314,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
68,"Blinding Lights","The Weeknd",543096,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
69,"Selfish Love (with Selena Gomez)","DJ Snake",526782,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
70,"La vie qu'on mène",Ninho,502905,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No
71,"Toute la noche (feat. Maître Gims)","Soso Maness",502609,https://open.spotify.com/track/7kmueDSUCCcDnEed0Tseow
72,Minefields,Faouzia,501125,https://open.spotify.com/track/1OU4E4HiVjdak0mL4blVWT
73,"1,2,3","Amel Bent",492458,https://open.spotify.com/track/7uCLrBdy5FH6T7vcJzqRd7
74,"Tue ça","Koba LaD",485168,https://open.spotify.com/track/3UtfC16RDbJzJvDSgrqAUk
75,Daddy,SDM,481915,https://open.spotify.com/track/2iPFEYnitXLl4lSxvqZI3m
76,"Watermelon Sugar","Harry Styles",478676,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
77,"Υ. 2 DIAMANTS",Damso,478267,https://open.spotify.com/track/1swQocGVyXMAamWDjNzoLx
78,"Pilote (feat. Hamza)",PLK,475359,https://open.spotify.com/track/12GV2Wr4p1hBWQCrQcVsew
79,"Kimono (feat. SCH et Ninho)",Sadek,472832,https://open.spotify.com/track/54rHJPDt8DUE2RtSg6Bsrf
80,"Dance Monkey","Tones And I",469556,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
81,BELLE,GIMS,465063,https://open.spotify.com/track/41xAUseykaaSdmry5hVOkV
82,Arcade,"Duncan Laurence",458991,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
83,EVIDEMMENT,"Green Montana",455011,https://open.spotify.com/track/4azG4CFB2tCEnfjagXSraz
84,Run,OneRepublic,452883,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
85,"À cœur ouvert","Djadja & Dinaz",443994,https://open.spotify.com/track/1j9kCQ1R2mh2AAieXmZOZ5
86,"DLB 13","Soso Maness",443233,https://open.spotify.com/track/64v5RSiSNrlLHRoynPHhQ3
87,Dinero,"Trinidad Cardona",436922,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
88,"Sale histoire",Leto,431375,https://open.spotify.com/track/73qXFdtK3lrLzFjj9fYIkb
89,"Derrière le brouillard","Grand Corps Malade",431296,https://open.spotify.com/track/41mbANHqOIULPmYi5Hp4ey
90,Butter,BTS,429985,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
91,Médusa,Landy,425510,https://open.spotify.com/track/2hL0WVDLvlxZ60J4YyWvFW
92,"Mannschaft (feat. Freeze Corleone)",SCH,423272,https://open.spotify.com/track/03cOUvF1fyW60AuUfUNiDc
93,"Coffre plein","Koba LaD",421131,https://open.spotify.com/track/70pkwEEG7nDTXBFqoGQkH0
94,"Plaza Athénée",Booba,419308,https://open.spotify.com/track/3zfX77h21GrlhsiOuYnZNC
95,"Mon soleil",Dadju,418959,https://open.spotify.com/track/2Dv1CPIgX29t816ZLscdB2
96,Kayna,Booba,411906,https://open.spotify.com/track/1DSUiI4i5HBWTvDF721oj4
97,"En bas d'chez moi (feat. Naps)",Zaho,408840,https://open.spotify.com/track/6krN03tt9t43OAFiKvM00n
98,"Téléphone - Extrait de CRCLR MVT SAISON II","Freeze corleone",405467,https://open.spotify.com/track/0FLegMOg3yN9e2zF5p9Vxb
99,"Madame Djé (Djenaba)",Vegedream,400543,https://open.spotify.com/track/2eRkKP3iv3Xb7nQunGBr6Y
100,"Tiki Taka",Benab,399947,https://open.spotify.com/track/5csxKPX4HuN8UDEdHUxcqz
101,"Π. VANTABLACK",Damso,399111,https://open.spotify.com/track/2n3dCM1RqyhzH5FZQW4jxA
102,6.3,Naps,395827,https://open.spotify.com/track/3lTL4LdFKVF51lseI2nk5D
103,DÁKITI,"Bad Bunny",394450,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
104,911,Damso,393688,https://open.spotify.com/track/2DOc7EJutpU8OrBHV6RABG
105,"Dans la savane",DTF,387114,https://open.spotify.com/track/6LPQEPiXA54xGGdcqOdjdR
106,"Mood (feat. iann dior)",24kGoldn,385924,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
107,"Lettre à une femme",Ninho,384705,https://open.spotify.com/track/5HEtuK03ygUzqca6yfgOYZ
108,"Marché noir",SCH,383985,https://open.spotify.com/track/3BDHFeYIrqGpL8HNkuI6zv
109,Sirène,Larry,382749,https://open.spotify.com/track/0YBQKyzpWGDivSdi0OaXiH
110,Irréversible,Jul,381833,https://open.spotify.com/track/3SVs240C1DW8ge7clwWCrd
111,"Si tu savais - Saison 999","S.Pri Noir",381698,https://open.spotify.com/track/1Q5RL00YphNk3volIYRqyw
