,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
90,"What’s Next",Drake,2208223,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
91,"Look Who’s Inside Again","Bo Burnham",2198974,https://open.spotify.com/track/7d8dqy6GbiUqotcTSs0jXg
92,"a m a r i","J. Cole",2183015,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
93,"Antisocial (feat. Juice WRLD)",Migos,2182915,https://open.spotify.com/track/3lakLxKgelrvKBTyGwDXhX
94,"Heart of a Giant (with Rod Wave)","Polo G",2182334,https://open.spotify.com/track/6Q7Tv7ZxmoOokvuPchcaO1
95,"Dreams - 2004 Remaster","Fleetwood Mac",2163900,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
96,"Bloody Canvas","Polo G",2145931,https://open.spotify.com/track/7Cj3tnMCpXpHgE8CIISbGq
97,"Go Part 1 (with G Herbo)","Polo G",2135077,https://open.spotify.com/track/1EnWTwagv0XR5OJ51WMdzj
98,"Lucid Dreams","Juice WRLD",2126488,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
99,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",2126432,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
100,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2124086,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
101,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2089364,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
102,"We're Good","Dua Lipa",2083627,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
103,"Ramen & OJ","Joyner Lucas",2082111,https://open.spotify.com/track/4TIqzdAssasqx3DAe6cG9J
104,Jane,Migos,2082097,https://open.spotify.com/track/7g43YzKWtb1NMRcwD896ww
105,Vaccine,Migos,2080271,https://open.spotify.com/track/5Qs6gTnyrG0KGYbuCzoK5k
106,"WAP (feat. Megan Thee Stallion)","Cardi B",2075656,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
107,"Come & Go (with Marshmello)","Juice WRLD",2059586,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
108,"Wishing Well","Juice WRLD",2047485,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
109,"As the World Caves In","Matt Maltese",2045431,https://open.spotify.com/track/4JE6agBLHGA5TaF6FlqfBD
110,"Picasso (feat. Future)",Migos,2042697,https://open.spotify.com/track/2kPlWEOm2tQlaZRE01IbBQ
111,"So Real","Polo G",2022707,https://open.spotify.com/track/0NvHg9fiix03UG7hdYx6DI
112,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",2016000,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
113,"Type Shit (feat. Cardi B)",Migos,2003638,https://open.spotify.com/track/4N4wemxs9Em6nJ5kXTjEsS
114,"Broken Guitars (with Scorey)","Polo G",1999243,https://open.spotify.com/track/4QSehYD2iCp1L3l4B3QNv0
115,34+35,"Ariana Grande",1991346,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
116,Shit,"Bo Burnham",1977735,https://open.spotify.com/track/2xQShwyOMYlX10w8dxbFX1
117,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money",1976382,https://open.spotify.com/track/2IePEfMAtqWS6rLXXFZIgI
118,Fiel,"Los Legendarios",1954816,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
119,"The Spins","Mac Miller",1951564,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
120,"What You Know Bout Love","Pop Smoke",1933095,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
121,"WHOLE LOTTA MONEY",BIA,1928416,https://open.spotify.com/track/5yorXJWdBan1Vlh116ZtQ7
122,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",1908496,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
123,"Mr. Brightside","The Killers",1904640,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
124,"Dick (feat. Doja Cat)",StarBoi3,1900658,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
125,"Electric Love",BØRNS,1896077,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
126,"Don't Start Now","Dua Lipa",1879157,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
127,"Blueberry Faygo","Lil Mosey",1862822,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
128,"Whiskey Glasses","Morgan Wallen",1862501,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
129,Goodbye,"Bo Burnham",1860407,https://open.spotify.com/track/6tfPsgvkgbGHWGwq2PpzCI
130,Ski,"Young Stoner Life",1856881,https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1
131,Robbery,"Juice WRLD",1856575,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
132,"The Box","Roddy Ricch",1833255,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
133,"Your Power","Billie Eilish",1827084,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
134,"Chasing After You (with Maren Morris)","Ryan Hurd",1820591,https://open.spotify.com/track/1ZIKpMTRPqhwAoVXWY3tXI
135,"Talking to the Moon","Bruno Mars",1811612,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
136,goosebumps,"Travis Scott",1805383,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
137,Content,"Bo Burnham",1795382,https://open.spotify.com/track/7av3s72hOwmgzA2VE5pWDa
138,Birthday,Migos,1794711,https://open.spotify.com/track/7tt5I7ztXfKzZRqyL2FCYb
139,"SUN GOES DOWN","Lil Nas X",1789708,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
140,"Famous Friends","Chris Young",1787084,https://open.spotify.com/track/4iXDn9pu5Q9sxv45vE8Lak
141,"Someone You Loved","Lewis Capaldi",1786901,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
142,"you broke me first","Tate McRae",1784490,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
143,"That Funny Feeling","Bo Burnham",1778738,https://open.spotify.com/track/7uCq4vBPffjaTMlE8EQzJD
144,positions,"Ariana Grande",1768600,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
145,"Zooted Freestyle","Polo G",1765659,https://open.spotify.com/track/43Ykyd3WD3tfaFDhunMZHp
146,"20 Min","Lil Uzi Vert",1765014,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
147,"hot girl bummer",blackbear,1760847,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
148,"Tongue Tied",Grouplove,1754134,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
149,"Life Is Good (feat. Drake)",Future,1742719,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
150,"Wasted On You","Morgan Wallen",1742606,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
151,"Fame & Riches (with Roddy Ricch)","Polo G",1740537,https://open.spotify.com/track/7oPHGO39MQVukHZjdz4b9S
152,"Light It Up (feat. Pop Smoke)",Migos,1739315,https://open.spotify.com/track/5rIjbX7rQMj8Gh9Oxd4Vrc
153,"GNF (OKOKOK)","Polo G",1719608,https://open.spotify.com/track/3gntlMjzCV42fREUUbOHCN
154,21,"Polo G",1715775,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
155,Arcade,"Duncan Laurence",1713052,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
156,"Knock Knock",SoFaygo,1709751,https://open.spotify.com/track/6aHoPULNO7pSL2ZfUY0bU8
157,Dynamite,BTS,1709638,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
158,Dinero,"Trinidad Cardona",1695171,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
159,"Misery Business",Paramore,1684481,https://open.spotify.com/track/6SpLc7EXZIPpy0sVko0aoU
160,"Daddy Issues","The Neighbourhood",1677609,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
161,Heather,"Conan Gray",1674746,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
162,"The Good Ones","Gabby Barrett",1673982,https://open.spotify.com/track/3hLuHKzG1cmlRpq53ZVWd8
163,"Losses (with Young Thug)","Polo G",1664581,https://open.spotify.com/track/0f6U1lMWlbjnyYBctfjji1
164,"Need It (feat. YoungBoy Never Broke Again)",Migos,1661161,https://open.spotify.com/track/1cMMVJ4FDqhCci9efd1BU6
165,Tampa,"Cico P",1656966,https://open.spotify.com/track/5jc4Qcs98R4ZDku8ictuE3
166,"More Than My Hometown","Morgan Wallen",1653909,https://open.spotify.com/track/5OELUCYgOHKFAvCERnAvfS
167,Comedy,"Bo Burnham",1648661,https://open.spotify.com/track/2AziR5bWTpniyTm2GQNer7
168,Lost,"Maroon 5",1648419,https://open.spotify.com/track/18XlJEroUwFo0tLZxscgXE
169,"Washing Machine Heart",Mitski,1643283,https://open.spotify.com/track/4Ys8jQvZOISzmp34BsImRf
170,"Beautiful Crazy","Luke Combs",1643065,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
171,"Tennessee Whiskey","Chris Stapleton",1634684,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
172,Twerkulator,"City Girls",1630245,https://open.spotify.com/track/2Ty7EDf9XLYzEUqEIwJfDC
173,"On Me","Lil Baby",1622294,https://open.spotify.com/track/4Iedi94TIaB2GGb1nMB68v
174,"Big Gangsta","Kevin Gates",1620360,https://open.spotify.com/track/03ERnTvSV5fy8WAyvA4uNP
175,"The Less I Know The Better","Tame Impala",1618282,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
176,"Cloud 9","Beach Bunny",1614172,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
177,"Don't Stop Believin'",Journey,1597150,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
178,"Cigarette Daydreams","Cage The Elephant",1595324,https://open.spotify.com/track/0lkQOB949M2gLyut86aJ1b
179,"Everybody Talks","Neon Trees",1588169,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
180,LUMBERJACK,"Tyler, The Creator",1585792,https://open.spotify.com/track/64v1g2HcPumBz2Wd1rT56b
181,Roadrunner,Migos,1584494,https://open.spotify.com/track/5DxA8tzKieKkOrvKnCrADi
182,"Chicken Fried","Zac Brown Band",1579306,https://open.spotify.com/track/3eBnEo9WL34ulBCZlLpUQO
183,"Glad You Exist","Dan + Shay",1574772,https://open.spotify.com/track/472vIK1ldetTxRxG3ovaiY
184,Dior,"Pop Smoke",1573107,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
185,"XO Tour Llif3","Lil Uzi Vert",1572619,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
186,"LA NOCHE DE ANOCHE","Bad Bunny",1572021,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
187,"Jocelyn Flores",XXXTENTACION,1570865,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
188,"SLOW DANCING IN THE DARK",Joji,1568036,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
189,"Bundles (feat. Taylor Girlz)","Kayla Nicole",1561003,https://open.spotify.com/track/3QqYZWQLn0evKMIRlGJeeR
190,"What You See (feat. Justin Bieber)",Migos,1559737,https://open.spotify.com/track/58H8cWvvaFLFg2g7SdOO44
191,"Bezos I","Bo Burnham",1557885,https://open.spotify.com/track/0Kdj7nwaYQmvhxnqZaIQuW
192,"Ric Flair Drip (& Metro Boomin)",Offset,1556391,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
193,"For the Love of New York (with Nicki Minaj)","Polo G",1555150,https://open.spotify.com/track/09b7tlISM5nQic0l2Qv9lP
194,"Therefore I Am","Billie Eilish",1543094,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
195,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,1542989,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
196,"Wait a Minute!",WILLOW,1541831,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
197,"Adore You","Harry Styles",1540960,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
198,"Godzilla (feat. Juice WRLD)",Eminem,1540433,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
199,"When It Rains It Pours","Luke Combs",1539285,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
200,"Time Today","Moneybagg Yo",1531129,https://open.spotify.com/track/0YrKSfpvflYnLSBd4Jtu6J
