,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",17136875,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"Kiss Me More (feat. SZA)","Doja Cat",9403342,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
3,"deja vu","Olivia Rodrigo",8982666,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
4,RAPSTAR,"Polo G",8881591,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
5,traitor,"Olivia Rodrigo",8402744,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
6,"Levitating (feat. DaBaby)","Dua Lipa",7272192,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"MONTERO (Call Me By Your Name)","Lil Nas X",6891197,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
8,"favorite crime","Olivia Rodrigo",6537108,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
9,Yonaguni,"Bad Bunny",6485085,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
10,happier,"Olivia Rodrigo",6378610,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
11,"Wants and Needs (feat. Lil Baby)",Drake,6147795,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
12,brutal,"Olivia Rodrigo",6140668,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
13,"drivers license","Olivia Rodrigo",5838208,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
14,"Having Our Way (feat. Drake)",Migos,5609030,https://open.spotify.com/track/2NM0qHzx4Ohy8iXHEEgwlO
15,"Solar Power",Lorde,5536268,https://open.spotify.com/track/3KdoeNlEN0BoAKWzaRLNZa
16,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5497343,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
17,"Need To Know","Doja Cat",5301541,https://open.spotify.com/track/10hcDov7xmcRviA8jLwEaI
18,"Heat Waves","Glass Animals",5279950,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
19,"Thot Shit","Megan Thee Stallion",5182654,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
20,"jealousy, jealousy","Olivia Rodrigo",5012411,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
21,"Astronaut In The Ocean","Masked Wolf",4799486,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
22,"Todo De Ti","Rauw Alejandro",4691387,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
23,"No Return (with The Kid LAROI & Lil Durk)","Polo G",4675057,https://open.spotify.com/track/23OYT3SFtoJqhiAUqktbc1
24,"enough for you","Olivia Rodrigo",4611904,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
25,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,4586265,https://open.spotify.com/track/1QL7nSDZCwZMnbisV4KOXt
26,"Leave The Door Open","Bruno Mars",4440312,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
27,Butter,BTS,4351474,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
28,"GANG GANG (with Lil Wayne)","Polo G",4342344,https://open.spotify.com/track/0ezwvY7TkCwDEkKR49084k
29,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",4111564,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
30,"1 step forward, 3 steps back","Olivia Rodrigo",4051073,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
31,"Black Hearted","Polo G",4015993,https://open.spotify.com/track/25qk9xa71F1POdI4vj7rbi
32,Straightenin,Migos,3934763,https://open.spotify.com/track/15EH2glphTjcarRjAsc0EB
33,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",3881752,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
34,"Lost Cause","Billie Eilish",3752801,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
35,"Heartbreak Anniversary",Giveon,3681404,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
36,"Best Friend (feat. Doja Cat)",Saweetie,3655572,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
37,Up,"Cardi B",3640424,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
38,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",3552728,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
39,"Tell Em",Cochise,3524943,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
40,"m y . l i f e (with 21 Savage & Morray)","J. Cole",3474331,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
41,"hope ur ok","Olivia Rodrigo",3457354,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
42,"Build a Bitch","Bella Poarch",3393109,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
43,"Late At Night","Roddy Ricch",3382705,https://open.spotify.com/track/1fxYz1s15pyZLsJT0Hdh1m
44,Avalanche,Migos,3379138,https://open.spotify.com/track/4KD0lLJ4OGonZhBeKtct9I
45,"Blinding Lights","The Weeknd",3367895,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
46,telepatía,"Kali Uchis",3366305,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
47,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",3204894,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
48,"Forever After All","Luke Combs",3191448,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
49,"Good Days",SZA,3099638,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
50,DÁKITI,"Bad Bunny",3063390,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
51,"my ex's best friend (with blackbear)","Machine Gun Kelly",2955759,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
52,Streets,"Doja Cat",2913580,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
53,"Malibu (feat. Polo G)",Migos,2866681,https://open.spotify.com/track/3v1zVVdzNVNt7vmI9VG2gq
54,Toxic,"Polo G",2791297,https://open.spotify.com/track/3h3NKhcfHkr6GvEpC3FRI5
55,"Never Left","Lil Tecca",2784944,https://open.spotify.com/track/21UkXrc9kD48rNpTMI2ecz
56,"Martin & Gina","Polo G",2765182,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
57,"Modern Day",Migos,2752933,https://open.spotify.com/track/2Igem6Q4sfvXGJ3JkG7Baw
58,"All Eyes On Me","Bo Burnham",2749258,https://open.spotify.com/track/3rV5y8rcQrwRt9fWGLmjOQ
59,"EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","DJ Khaled",2740055,https://open.spotify.com/track/1EJIcDYXwSqipW5dFe4uJz
60,"Mood (feat. iann dior)",24kGoldn,2735207,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
61,"Welcome to the Internet","Bo Burnham",2689844,https://open.spotify.com/track/25AvaE23MXl06YRtQcQoJS
62,"Calling My Phone","Lil Tjay",2687614,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
63,"Sweater Weather","The Neighbourhood",2684078,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
64,"Painting Pictures","Polo G",2649851,https://open.spotify.com/track/25uBGaikHi0DhMiGMfuXYE
65,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,2615466,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
66,"Hats Off (feat. Travis Scott)","Lil Baby",2600581,https://open.spotify.com/track/4lUmnwRybYH7mMzf16xB0y
67,"Solid (feat. Drake)","Young Stoner Life",2590192,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
68,"Clueless (with Pop Smoke & Fivio Foreign)","Polo G",2586037,https://open.spotify.com/track/4CPcZHzSvIBM8AKhdHUwnL
69,"Watermelon Sugar","Harry Styles",2541936,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
70,Freaks,"Surf Curse",2483566,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
71,"WITHOUT YOU","The Kid LAROI",2426312,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
72,Circles,"Post Malone",2413556,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
73,"Party Lyfe (with DaBaby)","Polo G",2392121,https://open.spotify.com/track/38Z8SRBxln5pP7yWLqRYwC
74,Boom,"Polo G",2390762,https://open.spotify.com/track/6vQnpXl0KvwTfLpIhoOLHc
75,Wockesha,"Moneybagg Yo",2371149,https://open.spotify.com/track/0nqhKXDjsyBMvbeWmgijD0
76,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2350529,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
77,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",2341291,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
78,"I Quit Drinking","Kelsea Ballerini",2337156,https://open.spotify.com/track/6OcCk1dbAb7XNHsC098oEM
79,"Hold On","Justin Bieber",2323139,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
80,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2311043,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
81,Epidemic,"Polo G",2293696,https://open.spotify.com/track/1SjBcdzWbs79UTCrH4qXJf
82,"Seeing Green (with Drake & Lil Wayne)","Nicki Minaj",2292537,https://open.spotify.com/track/1TZv3bujNaYz646eezRE91
83,"No Role Modelz","J. Cole",2283943,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
84,"Goosebumps - Remix","Travis Scott",2279988,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
85,"Lil Bit",Nelly,2258689,https://open.spotify.com/track/0NmuYnjETG3u3qx0OmEJev
86,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",2246571,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
87,"4 Da Gang (with Roddy Ricch)","42 Dugg",2228037,https://open.spotify.com/track/1mAey8kEPmDM2icL56kS9d
88,"Save Your Tears","The Weeknd",2219988,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
89,"All Girls Are The Same","Juice WRLD",2219756,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
