,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Martin & Gina","Polo G",2782019,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
54,"Mood (feat. iann dior)",24kGoldn,2768087,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
55,"Sweater Weather","The Neighbourhood",2727923,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
56,Wockesha,"Moneybagg Yo",2697462,https://open.spotify.com/track/0nqhKXDjsyBMvbeWmgijD0
57,"What’s Next",Drake,2621180,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
58,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,2612577,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
59,"Watermelon Sugar","Harry Styles",2529462,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
60,"WITHOUT YOU","The Kid LAROI",2508798,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
61,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",2473457,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
62,"4 Da Gang (with Roddy Ricch)","42 Dugg",2465606,https://open.spotify.com/track/1mAey8kEPmDM2icL56kS9d
63,"Goosebumps - Remix","Travis Scott",2450000,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
64,Freaks,"Surf Curse",2447991,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
65,"Hold On","Justin Bieber",2437244,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
66,"Your Power","Billie Eilish",2415113,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
67,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2401668,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
68,"Save Your Tears","The Weeknd",2357280,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
69,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2351718,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
70,"As the World Caves In","Matt Maltese",2347162,https://open.spotify.com/track/4JE6agBLHGA5TaF6FlqfBD
71,"No Role Modelz","J. Cole",2338404,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
72,"All Girls Are The Same","Juice WRLD",2330771,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
73,Circles,"Post Malone",2330486,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
74,"Ramen & OJ","Joyner Lucas",2318586,https://open.spotify.com/track/4TIqzdAssasqx3DAe6cG9J
75,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",2296042,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
76,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",2294135,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
77,"SUN GOES DOWN","Lil Nas X",2289923,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
78,"Still Runnin (feat. Meek Mill)","Lil Baby",2248336,https://open.spotify.com/track/5cAN3P7jWVf78gev1eF7TJ
79,2040,"Lil Baby",2218347,https://open.spotify.com/track/2ELp0EL65yitpfJYwc5983
80,"Lucid Dreams","Juice WRLD",2207172,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
81,"We're Good","Dua Lipa",2200207,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
82,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2192265,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
83,Straightenin,Migos,2183500,https://open.spotify.com/track/3X2r2CnHOJeV5YekPTgBnK
84,"Dreams - 2004 Remaster","Fleetwood Mac",2167500,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
85,"Lil Bit",Nelly,2154213,https://open.spotify.com/track/0NmuYnjETG3u3qx0OmEJev
86,"Wishing Well","Juice WRLD",2146755,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
87,"Come & Go (with Marshmello)","Juice WRLD",2146617,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
88,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2140814,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
89,Fiel,"Los Legendarios",2137841,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
90,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",2131914,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
91,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",2124842,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
92,"What You Know Bout Love","Pop Smoke",2088590,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
93,34+35,"Ariana Grande",2047955,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
94,"WAP (feat. Megan Thee Stallion)","Cardi B",2035879,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
95,"WHOLE LOTTA MONEY",BIA,2035682,https://open.spotify.com/track/5yorXJWdBan1Vlh116ZtQ7
96,"Who I Want","Lil Baby",1994039,https://open.spotify.com/track/3vJKLsUYcC7mARUTOMUPaJ
