,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
9,10,10,踊,Ado,1272164,https://open.spotify.com/track/7z6qHGEKxRtwtYym2epV7l,4,11,7z6qHGEKxRtwtYym2epV7l,0.707,0.965,0.15,https://api.spotify.com/v1/audio-analysis/7z6qHGEKxRtwtYym2epV7l,208271,7z6qHGEKxRtwtYym2epV7l,1.38e-06,1,0.726,-0.736,1,0.105,128.003,4,https://api.spotify.com/v1/tracks/7z6qHGEKxRtwtYym2epV7l,audio_features,spotify:track:7z6qHGEKxRtwtYym2epV7l,0.777,"['j-pop', 'japanese teen pop']"
14,11,15,うっせぇわ,Ado,1045756,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n,4,12,6EzZn96uOc9JsVGNRpx06n,0.525,0.978,0.00485,https://api.spotify.com/v1/audio-analysis/6EzZn96uOc9JsVGNRpx06n,204920,6EzZn96uOc9JsVGNRpx06n,0.0,11,0.06,-1.072,0,0.0815,178.069,4,https://api.spotify.com/v1/tracks/6EzZn96uOc9JsVGNRpx06n,audio_features,spotify:track:6EzZn96uOc9JsVGNRpx06n,0.577,"['j-pop', 'japanese teen pop']"
1,12,2,ドライフラワー,優里,1826838,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J,3,13,7dH0dpi751EoguDDg3xx6J,0.463,0.624,0.426,https://api.spotify.com/v1/audio-analysis/7dH0dpi751EoguDDg3xx6J,285587,7dH0dpi751EoguDDg3xx6J,0.0,7,0.221,-5.118,1,0.0274,147.929,4,https://api.spotify.com/v1/tracks/7dH0dpi751EoguDDg3xx6J,audio_features,spotify:track:7dH0dpi751EoguDDg3xx6J,0.521,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']"
13,13,14,不思議,Gen Hoshino,1137069,https://open.spotify.com/track/6NKn02oJDkUkRa9IHbMe3n,2,14,6NKn02oJDkUkRa9IHbMe3n,0.753,0.574,0.0512,https://api.spotify.com/v1/audio-analysis/6NKn02oJDkUkRa9IHbMe3n,290000,6NKn02oJDkUkRa9IHbMe3n,3.71e-06,3,0.141,-4.57,1,0.0483,89.024,4,https://api.spotify.com/v1/tracks/6NKn02oJDkUkRa9IHbMe3n,audio_features,spotify:track:6NKn02oJDkUkRa9IHbMe3n,0.527,"['j-acoustic', 'j-pop', 'japanese singer-songwriter']"
19,14,20,Film out,BTS,940414,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt,15,15,3UHPGOkUcE4hE7sqBF4Snt,0.499,0.709,0.296,https://api.spotify.com/v1/audio-analysis/3UHPGOkUcE4hE7sqBF4Snt,214621,3UHPGOkUcE4hE7sqBF4Snt,0.0,10,0.331,-6.404,1,0.134,164.032,4,https://api.spotify.com/v1/tracks/3UHPGOkUcE4hE7sqBF4Snt,audio_features,spotify:track:3UHPGOkUcE4hE7sqBF4Snt,0.314,"['k-pop', 'k-pop boy group']"
56,15,57,Life Goes On,BTS,446462,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD,15,16,249gnXrbfmV8NG6jTEMSwD,0.566,0.716,0.00691,https://api.spotify.com/v1/audio-analysis/249gnXrbfmV8NG6jTEMSwD,207481,249gnXrbfmV8NG6jTEMSwD,0.0,1,0.37,-5.733,1,0.0424,81.068,4,https://api.spotify.com/v1/tracks/249gnXrbfmV8NG6jTEMSwD,audio_features,spotify:track:249gnXrbfmV8NG6jTEMSwD,0.45,"['k-pop', 'k-pop boy group']"
58,16,59,Boy With Luv (feat. Halsey),BTS,431408,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,15,17,5KawlOMHjWeUjQtnuRs22c,0.645,0.862,0.0923,https://api.spotify.com/v1/audio-analysis/5KawlOMHjWeUjQtnuRs22c,229773,5KawlOMHjWeUjQtnuRs22c,0.0,11,0.192,-4.757,0,0.0965,119.991,4,https://api.spotify.com/v1/tracks/5KawlOMHjWeUjQtnuRs22c,audio_features,spotify:track:5KawlOMHjWeUjQtnuRs22c,0.798,"['k-pop', 'k-pop boy group']"
74,17,75,Stay Gold,BTS,362539,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,15,18,3Ys2PYl1wyPKQIwyqhP9cQ,0.723,0.634,0.0892,https://api.spotify.com/v1/audio-analysis/3Ys2PYl1wyPKQIwyqhP9cQ,243267,3Ys2PYl1wyPKQIwyqhP9cQ,0.0,1,0.0787,-5.415,1,0.0542,129.017,4,https://api.spotify.com/v1/tracks/3Ys2PYl1wyPKQIwyqhP9cQ,audio_features,spotify:track:3Ys2PYl1wyPKQIwyqhP9cQ,0.582,"['k-pop', 'k-pop boy group']"
107,18,108,ON,BTS,256252,https://open.spotify.com/track/3cbLHmmEPvTgHKvl53WYiy,15,19,3cbLHmmEPvTgHKvl53WYiy,0.583,0.817,0.118,https://api.spotify.com/v1/audio-analysis/3cbLHmmEPvTgHKvl53WYiy,246381,3cbLHmmEPvTgHKvl53WYiy,0.0,9,0.338,-5.146,0,0.099,105.935,4,https://api.spotify.com/v1/tracks/3cbLHmmEPvTgHKvl53WYiy,audio_features,spotify:track:3cbLHmmEPvTgHKvl53WYiy,0.437,"['k-pop', 'k-pop boy group']"
119,19,120,Lights,BTS,243775,https://open.spotify.com/track/3TDUktzfYXMWjkWqwoT5F1,15,20,3TDUktzfYXMWjkWqwoT5F1,0.608,0.644,0.156,https://api.spotify.com/v1/audio-analysis/3TDUktzfYXMWjkWqwoT5F1,292853,3TDUktzfYXMWjkWqwoT5F1,0.0,5,0.124,-5.588,1,0.0314,99.005,4,https://api.spotify.com/v1/tracks/3TDUktzfYXMWjkWqwoT5F1,audio_features,spotify:track:3TDUktzfYXMWjkWqwoT5F1,0.431,"['k-pop', 'k-pop boy group']"
120,20,121,DNA,BTS,243296,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH,15,21,5SE57ljOIUJ1ybL9U6CuBH,0.598,0.775,0.022,https://api.spotify.com/v1/audio-analysis/5SE57ljOIUJ1ybL9U6CuBH,223123,5SE57ljOIUJ1ybL9U6CuBH,0.0,1,0.0677,-4.035,0,0.0545,129.819,4,https://api.spotify.com/v1/tracks/5SE57ljOIUJ1ybL9U6CuBH,audio_features,spotify:track:5SE57ljOIUJ1ybL9U6CuBH,0.687,"['k-pop', 'k-pop boy group']"
138,21,139,Your eyes tell,BTS,221465,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz,15,22,3TZ7NHkMT82AhwuYsd00Hz,0.449,0.491,0.279,https://api.spotify.com/v1/audio-analysis/3TZ7NHkMT82AhwuYsd00Hz,245147,3TZ7NHkMT82AhwuYsd00Hz,0.0,9,0.0654,-6.433,0,0.029,139.923,4,https://api.spotify.com/v1/tracks/3TZ7NHkMT82AhwuYsd00Hz,audio_features,spotify:track:3TZ7NHkMT82AhwuYsd00Hz,0.258,"['k-pop', 'k-pop boy group']"
142,22,143,Telepathy,BTS,219626,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne,15,23,2FVpOsjT1iquZ3SpCjZ9Ne,0.787,0.669,0.00782,https://api.spotify.com/v1/audio-analysis/2FVpOsjT1iquZ3SpCjZ9Ne,202313,2FVpOsjT1iquZ3SpCjZ9Ne,0.0,5,0.123,-4.333,0,0.0428,104.994,4,https://api.spotify.com/v1/tracks/2FVpOsjT1iquZ3SpCjZ9Ne,audio_features,spotify:track:2FVpOsjT1iquZ3SpCjZ9Ne,0.57,"['k-pop', 'k-pop boy group']"
172,23,173,IDOL,BTS,192759,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS,15,24,2AIWoHr9DF6y4KALCBKWQS,0.734,0.855,0.00481,https://api.spotify.com/v1/audio-analysis/2AIWoHr9DF6y4KALCBKWQS,222732,2AIWoHr9DF6y4KALCBKWQS,0.0,9,0.123,-3.211,1,0.118,126.035,4,https://api.spotify.com/v1/tracks/2AIWoHr9DF6y4KALCBKWQS,audio_features,spotify:track:2AIWoHr9DF6y4KALCBKWQS,0.422,"['k-pop', 'k-pop boy group']"
