,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
129,161,130,Whoopty,CJ,513201,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO,1,162,1t9WgS8FN0534tLBRwbaxO,0.719,0.648,0.2,https://api.spotify.com/v1/audio-analysis/1t9WgS8FN0534tLBRwbaxO,123263,1t9WgS8FN0534tLBRwbaxO,0.0,3,0.127,-7.6,0,0.125,140.201,4,https://api.spotify.com/v1/tracks/1t9WgS8FN0534tLBRwbaxO,audio_features,spotify:track:1t9WgS8FN0534tLBRwbaxO,0.66,['nyc rap']
130,162,131,Goosebumps - Remix,Travis Scott,511742,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9,1,163,5uEYRdEIh9Bo4fpjDd4Na9,0.841,0.593,0.418,https://api.spotify.com/v1/audio-analysis/5uEYRdEIh9Bo4fpjDd4Na9,162803,5uEYRdEIh9Bo4fpjDd4Na9,0.0,1,0.124,-7.846,1,0.0379,124.917,4,https://api.spotify.com/v1/tracks/5uEYRdEIh9Bo4fpjDd4Na9,audio_features,spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,0.808,"['rap', 'slap house']"
131,163,132,you broke me first,Tate McRae,509324,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,1,164,45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,0.785,https://api.spotify.com/v1/audio-analysis/45bE4HXI0AwGZXfZtMp8JR,169266,45bE4HXI0AwGZXfZtMp8JR,0.0,4,0.0906,-9.389,1,0.05,124.148,4,https://api.spotify.com/v1/tracks/45bE4HXI0AwGZXfZtMp8JR,audio_features,spotify:track:45bE4HXI0AwGZXfZtMp8JR,0.0823,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
132,164,133,Dance Monkey,Tones And I,505235,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,1,165,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,0.688,https://api.spotify.com/v1/audio-analysis/1rgnBhdG2JDFTbYkYRZAku,209755,1rgnBhdG2JDFTbYkYRZAku,0.000161,6,0.17,-6.401,0,0.0988,98.078,4,https://api.spotify.com/v1/tracks/1rgnBhdG2JDFTbYkYRZAku,audio_features,spotify:track:1rgnBhdG2JDFTbYkYRZAku,0.54,"['australian pop', 'pop']"
136,165,137,Lost (feat. TOPIC42),Samra,494373,https://open.spotify.com/track/6ScxCBZE1yKr8Y0Ynl7kTl,1,166,6ScxCBZE1yKr8Y0Ynl7kTl,0.738,0.85,0.0493,https://api.spotify.com/v1/audio-analysis/6ScxCBZE1yKr8Y0Ynl7kTl,141387,6ScxCBZE1yKr8Y0Ynl7kTl,3.05e-05,10,0.229,-2.925,0,0.129,93.916,4,https://api.spotify.com/v1/tracks/6ScxCBZE1yKr8Y0Ynl7kTl,audio_features,spotify:track:6ScxCBZE1yKr8Y0Ynl7kTl,0.341,['german hip hop']
138,166,139,By Your Side (feat. Tom Grennan),Calvin Harris,491961,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV,1,167,0vR2rIVORmgeKiGIgNT0fV,0.733,0.96,0.0514,https://api.spotify.com/v1/audio-analysis/0vR2rIVORmgeKiGIgNT0fV,189672,0vR2rIVORmgeKiGIgNT0fV,0.00199,7,0.287,-3.597,1,0.0295,124.01,4,https://api.spotify.com/v1/tracks/0vR2rIVORmgeKiGIgNT0fV,audio_features,spotify:track:0vR2rIVORmgeKiGIgNT0fV,0.811,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
139,167,140,Savage Love (Laxed - Siren Beat),Jawsh 685,491624,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,1,168,1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,0.234,https://api.spotify.com/v1/audio-analysis/1xQ6trAsedVPCdbtDAmk0c,171375,1xQ6trAsedVPCdbtDAmk0c,0.0,0,0.269,-8.52,0,0.0803,150.076,4,https://api.spotify.com/v1/tracks/1xQ6trAsedVPCdbtDAmk0c,audio_features,spotify:track:1xQ6trAsedVPCdbtDAmk0c,0.761,['nz pop']
143,168,144,Ride It,Regard,473566,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,1,169,2tnVG71enUj33Ic2nFN6kZ,0.88,0.751,0.177,https://api.spotify.com/v1/audio-analysis/2tnVG71enUj33Ic2nFN6kZ,157606,2tnVG71enUj33Ic2nFN6kZ,6.43e-05,7,0.106,-4.258,0,0.0874,117.948,4,https://api.spotify.com/v1/tracks/2tnVG71enUj33Ic2nFN6kZ,audio_features,spotify:track:2tnVG71enUj33Ic2nFN6kZ,0.884,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']"
146,169,147,Todo De Ti,Rauw Alejandro,462837,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF,1,170,4fSIb4hdOQ151TILNsSEaF,0.808,0.626,0.397,https://api.spotify.com/v1/audio-analysis/4fSIb4hdOQ151TILNsSEaF,202771,4fSIb4hdOQ151TILNsSEaF,0.00584,3,0.102,-4.577,0,0.0353,127.955,4,https://api.spotify.com/v1/tracks/4fSIb4hdOQ151TILNsSEaF,audio_features,spotify:track:4fSIb4hdOQ151TILNsSEaF,0.569,"['puerto rican pop', 'trap latino']"
148,170,149,River,Tom Gregory,462781,https://open.spotify.com/track/6jmIUrOD5seJEh6Z6RP2xz,1,171,6jmIUrOD5seJEh6Z6RP2xz,0.701,0.616,0.0232,https://api.spotify.com/v1/audio-analysis/6jmIUrOD5seJEh6Z6RP2xz,190000,6jmIUrOD5seJEh6Z6RP2xz,0.0,10,0.235,-4.972,1,0.0564,110.037,4,https://api.spotify.com/v1/tracks/6jmIUrOD5seJEh6Z6RP2xz,audio_features,spotify:track:6jmIUrOD5seJEh6Z6RP2xz,0.496,"['tropical house', 'uk pop']"
