,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Girls Like Us","Zoe Wees",885506,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
56,"Blinding Lights","The Weeknd",878721,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
57,3065,"AK AUSSERKONTROLLE",875228,https://open.spotify.com/track/4tow4iBkVBJvmvMohCygQH
58,RAPSTAR,"Polo G",874427,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
59,"White Lies",VIZE,865098,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
60,Dynamite,ILIRA,864049,https://open.spotify.com/track/3HqQpSTLHJRKDhulVacRFb
61,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,854322,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
62,ZART,Nimo,850061,https://open.spotify.com/track/1WUXlAFlKIu7fixKZvQECX
63,"KIDS FROM THE BLOCK",Luciano,845285,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF
64,"Paradise (feat. Dermot Kennedy)",MEDUZA,839197,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
65,"Ich seh dich",Bozza,816559,https://open.spotify.com/track/1n1wnXWIrWKxrDnRPowxV8
66,Roller,"Apache 207",801908,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
67,"Faded Love",Leony,798553,https://open.spotify.com/track/3RcXFW8aiRYHRaDDYBqJ76
68,Butter,BTS,796544,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
69,"Love Not War (The Tampa Beat)","Jason Derulo",795065,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
70,"SCHÜTT ES EIN","Scorpion Gang",784520,https://open.spotify.com/track/6A165mYJHpo8p9pEIVDx1D
71,"King Kong",HBz,781289,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
72,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,775361,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
73,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",725508,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
74,"Chain My Heart",Topic,722915,https://open.spotify.com/track/67lbzVADsqJJ6tyVk0XCgn
75,"Wer wenn nicht wir","Wincent Weiss",722309,https://open.spotify.com/track/4eNW5iyZwK6ZgyZTojV4vI
76,"drivers license","Olivia Rodrigo",718590,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
77,"Tag ein Tag aus","ROTE MÜTZE RAPHI",716351,https://open.spotify.com/track/5ooUkzGb1spZzQ7FMYaaIT
78,"Mood (feat. iann dior)",24kGoldn,714907,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
79,"One More Time (feat. Alida)",Alida,708482,https://open.spotify.com/track/2REu6wX4KKrG6uGlTKVqu6
80,"deja vu","Olivia Rodrigo",705157,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
81,Anytime,"Phil The Beat",702426,https://open.spotify.com/track/58VgSGe9D9xz3BSvY9Gpua
82,River,"Tom Gregory",695965,https://open.spotify.com/track/6jmIUrOD5seJEh6Z6RP2xz
83,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",691866,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
84,"Fuck Love",Samo104,690142,https://open.spotify.com/track/0HhifV2v8vcNC4I3gpnwf3
85,"Another Love","Tom Odell",683513,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
86,PEPPERMINT,Luciano,681325,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
