,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
29,10,30,Facemask,Light,17012,https://open.spotify.com/track/1NhJs3bNcrsZMWsYcXOzRM,25,11,1NhJs3bNcrsZMWsYcXOzRM,0.664,0.622,0.0586,https://api.spotify.com/v1/audio-analysis/1NhJs3bNcrsZMWsYcXOzRM,216000,1NhJs3bNcrsZMWsYcXOzRM,0.0,4,0.0972,-8.556,0,0.394,159.864,4,https://api.spotify.com/v1/tracks/1NhJs3bNcrsZMWsYcXOzRM,audio_features,spotify:track:1NhJs3bNcrsZMWsYcXOzRM,0.235,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
31,11,32,Slide,Light,16498,https://open.spotify.com/track/4vOq5xB1jOGm2zKAISAA2a,25,12,4vOq5xB1jOGm2zKAISAA2a,0.489,0.658,0.0528,https://api.spotify.com/v1/audio-analysis/4vOq5xB1jOGm2zKAISAA2a,184762,4vOq5xB1jOGm2zKAISAA2a,0.0,5,0.336,-6.316,0,0.293,167.625,5,https://api.spotify.com/v1/tracks/4vOq5xB1jOGm2zKAISAA2a,audio_features,spotify:track:4vOq5xB1jOGm2zKAISAA2a,0.286,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
32,12,33,Ttg,Light,15708,https://open.spotify.com/track/2VtwLRUgXEebI1DTGJTOCb,25,13,2VtwLRUgXEebI1DTGJTOCb,0.787,0.559,0.0153,https://api.spotify.com/v1/audio-analysis/2VtwLRUgXEebI1DTGJTOCb,190880,2VtwLRUgXEebI1DTGJTOCb,0.0,10,0.275,-7.454,0,0.262,142.168,4,https://api.spotify.com/v1/tracks/2VtwLRUgXEebI1DTGJTOCb,audio_features,spotify:track:2VtwLRUgXEebI1DTGJTOCb,0.242,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
37,13,38,Xares,Light,14310,https://open.spotify.com/track/6LlFw8LxQeQNcSvy9lKRI2,25,14,6LlFw8LxQeQNcSvy9lKRI2,0.685,0.683,0.0459,https://api.spotify.com/v1/audio-analysis/6LlFw8LxQeQNcSvy9lKRI2,228500,6LlFw8LxQeQNcSvy9lKRI2,0.0,1,0.0885,-7.49,0,0.239,167.968,4,https://api.spotify.com/v1/tracks/6LlFw8LxQeQNcSvy9lKRI2,audio_features,spotify:track:6LlFw8LxQeQNcSvy9lKRI2,0.0919,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
38,14,39,Capalot,Light,14289,https://open.spotify.com/track/4aUhkdni2GhFwn8LHP0sqF,25,15,4aUhkdni2GhFwn8LHP0sqF,0.725,0.65,0.0813,https://api.spotify.com/v1/audio-analysis/4aUhkdni2GhFwn8LHP0sqF,189125,4aUhkdni2GhFwn8LHP0sqF,0.0,8,0.0857,-7.884,1,0.358,82.555,4,https://api.spotify.com/v1/tracks/4aUhkdni2GhFwn8LHP0sqF,audio_features,spotify:track:4aUhkdni2GhFwn8LHP0sqF,0.877,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
41,15,42,Blow Up,Light,13156,https://open.spotify.com/track/0h1p5hFcJQCEe0ER0wU0dv,25,16,0h1p5hFcJQCEe0ER0wU0dv,0.489,0.729,0.19,https://api.spotify.com/v1/audio-analysis/0h1p5hFcJQCEe0ER0wU0dv,172625,0h1p5hFcJQCEe0ER0wU0dv,0.0,7,0.11,-5.753,0,0.452,74.567,3,https://api.spotify.com/v1/tracks/0h1p5hFcJQCEe0ER0wU0dv,audio_features,spotify:track:0h1p5hFcJQCEe0ER0wU0dv,0.214,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
45,16,46,Mia Klisi,Light,12582,https://open.spotify.com/track/38ztkalYixz4hYX3R9K27K,25,17,38ztkalYixz4hYX3R9K27K,0.628,0.533,0.392,https://api.spotify.com/v1/audio-analysis/38ztkalYixz4hYX3R9K27K,150400,38ztkalYixz4hYX3R9K27K,0.0,8,0.113,-6.718,0,0.436,150.064,4,https://api.spotify.com/v1/tracks/38ztkalYixz4hYX3R9K27K,audio_features,spotify:track:38ztkalYixz4hYX3R9K27K,0.464,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
46,17,47,Paei Kairos,Light,12435,https://open.spotify.com/track/3urBGmts1ktXT9a8CK5gL4,25,18,3urBGmts1ktXT9a8CK5gL4,0.569,0.476,0.716,https://api.spotify.com/v1/audio-analysis/3urBGmts1ktXT9a8CK5gL4,195616,3urBGmts1ktXT9a8CK5gL4,0.0,5,0.195,-10.938,0,0.363,72.67,4,https://api.spotify.com/v1/tracks/3urBGmts1ktXT9a8CK5gL4,audio_features,spotify:track:3urBGmts1ktXT9a8CK5gL4,0.283,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
47,18,48,Eksw,Light,12304,https://open.spotify.com/track/4IGxuQOJbbKGq597JunGDQ,25,19,4IGxuQOJbbKGq597JunGDQ,0.777,0.504,0.526,https://api.spotify.com/v1/audio-analysis/4IGxuQOJbbKGq597JunGDQ,267000,4IGxuQOJbbKGq597JunGDQ,0.0,3,0.144,-7.644,0,0.34,114.046,4,https://api.spotify.com/v1/tracks/4IGxuQOJbbKGq597JunGDQ,audio_features,spotify:track:4IGxuQOJbbKGq597JunGDQ,0.576,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
48,19,49,Ti Perimeneis,Light,11966,https://open.spotify.com/track/5myAiflrkMcI9XyCRHANHE,25,20,5myAiflrkMcI9XyCRHANHE,0.779,0.667,0.038,https://api.spotify.com/v1/audio-analysis/5myAiflrkMcI9XyCRHANHE,183952,5myAiflrkMcI9XyCRHANHE,2.61e-06,3,0.109,-5.744,0,0.308,83.487,4,https://api.spotify.com/v1/tracks/5myAiflrkMcI9XyCRHANHE,audio_features,spotify:track:5myAiflrkMcI9XyCRHANHE,0.501,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
