,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
0,0,1,Ti Fovasai,Light,434281,https://open.spotify.com/track/5Gk1WhWoRgy9feTvLT9RWK,21,1,5Gk1WhWoRgy9feTvLT9RWK,0.638,0.565,0.0314,https://api.spotify.com/v1/audio-analysis/5Gk1WhWoRgy9feTvLT9RWK,258750,5Gk1WhWoRgy9feTvLT9RWK,0.0,9,0.115,-8.074,1,0.325,105.208,5,https://api.spotify.com/v1/tracks/5Gk1WhWoRgy9feTvLT9RWK,audio_features,spotify:track:5Gk1WhWoRgy9feTvLT9RWK,0.132,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
1,1,2,Woo Walk,Light,430578,https://open.spotify.com/track/7zWzNwjF8nsGnQq3mJiG13,21,2,7zWzNwjF8nsGnQq3mJiG13,0.701,0.726,0.11,https://api.spotify.com/v1/audio-analysis/7zWzNwjF8nsGnQq3mJiG13,164375,7zWzNwjF8nsGnQq3mJiG13,0.0,5,0.361,-7.367,0,0.085,141.867,4,https://api.spotify.com/v1/tracks/7zWzNwjF8nsGnQq3mJiG13,audio_features,spotify:track:7zWzNwjF8nsGnQq3mJiG13,0.793,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
2,2,3,Goodfella,Light,411757,https://open.spotify.com/track/3fCMmmmbmhCbSwVQhPeTpW,21,3,3fCMmmmbmhCbSwVQhPeTpW,0.544,0.819,0.344,https://api.spotify.com/v1/audio-analysis/3fCMmmmbmhCbSwVQhPeTpW,300000,3fCMmmmbmhCbSwVQhPeTpW,0.0,11,0.0872,-6.401,1,0.441,121.605,5,https://api.spotify.com/v1/tracks/3fCMmmmbmhCbSwVQhPeTpW,audio_features,spotify:track:3fCMmmmbmhCbSwVQhPeTpW,0.417,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
3,3,4,Sonic,Light,379431,https://open.spotify.com/track/1bRw06D8CPwN7ycLIXHFbP,21,4,1bRw06D8CPwN7ycLIXHFbP,0.753,0.767,0.235,https://api.spotify.com/v1/audio-analysis/1bRw06D8CPwN7ycLIXHFbP,162687,1bRw06D8CPwN7ycLIXHFbP,0.0,11,0.273,-7.202,0,0.0969,141.975,4,https://api.spotify.com/v1/tracks/1bRw06D8CPwN7ycLIXHFbP,audio_features,spotify:track:1bRw06D8CPwN7ycLIXHFbP,0.551,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
4,4,5,Cc,Light,368294,https://open.spotify.com/track/07qyw1D9R324YyFNZGUUdl,21,5,07qyw1D9R324YyFNZGUUdl,0.942,0.424,0.455,https://api.spotify.com/v1/audio-analysis/07qyw1D9R324YyFNZGUUdl,265565,07qyw1D9R324YyFNZGUUdl,0.0,1,0.0942,-7.64,0,0.0955,115.011,4,https://api.spotify.com/v1/tracks/07qyw1D9R324YyFNZGUUdl,audio_features,spotify:track:07qyw1D9R324YyFNZGUUdl,0.695,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
5,5,6,Cartier,Light,354013,https://open.spotify.com/track/2X0XWgfTRhv6RkUc1kuzcd,21,6,2X0XWgfTRhv6RkUc1kuzcd,0.754,0.598,0.199,https://api.spotify.com/v1/audio-analysis/2X0XWgfTRhv6RkUc1kuzcd,225000,2X0XWgfTRhv6RkUc1kuzcd,0.0,5,0.102,-7.148,0,0.176,122.91,4,https://api.spotify.com/v1/tracks/2X0XWgfTRhv6RkUc1kuzcd,audio_features,spotify:track:2X0XWgfTRhv6RkUc1kuzcd,0.652,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
6,6,7,Shorty,Light,351307,https://open.spotify.com/track/6W11qt0cfGVx7ZOEYNrSYX,21,7,6W11qt0cfGVx7ZOEYNrSYX,0.792,0.609,0.0812,https://api.spotify.com/v1/audio-analysis/6W11qt0cfGVx7ZOEYNrSYX,276994,6W11qt0cfGVx7ZOEYNrSYX,0.0,1,0.239,-8.128,1,0.148,140.007,4,https://api.spotify.com/v1/tracks/6W11qt0cfGVx7ZOEYNrSYX,audio_features,spotify:track:6W11qt0cfGVx7ZOEYNrSYX,0.808,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
7,7,8,Block,Light,335868,https://open.spotify.com/track/2j4EZlzum9PZXiZBySurpt,21,8,2j4EZlzum9PZXiZBySurpt,0.821,0.64,0.115,https://api.spotify.com/v1/audio-analysis/2j4EZlzum9PZXiZBySurpt,184800,2j4EZlzum9PZXiZBySurpt,1.22e-06,4,0.0844,-7.561,0,0.376,100.073,4,https://api.spotify.com/v1/tracks/2j4EZlzum9PZXiZBySurpt,audio_features,spotify:track:2j4EZlzum9PZXiZBySurpt,0.205,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
9,8,10,Ttg,Light,294679,https://open.spotify.com/track/2VtwLRUgXEebI1DTGJTOCb,21,9,2VtwLRUgXEebI1DTGJTOCb,0.787,0.559,0.0153,https://api.spotify.com/v1/audio-analysis/2VtwLRUgXEebI1DTGJTOCb,190880,2VtwLRUgXEebI1DTGJTOCb,0.0,10,0.275,-7.454,0,0.262,142.168,4,https://api.spotify.com/v1/tracks/2VtwLRUgXEebI1DTGJTOCb,audio_features,spotify:track:2VtwLRUgXEebI1DTGJTOCb,0.242,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
11,9,12,Xares,Light,281694,https://open.spotify.com/track/6LlFw8LxQeQNcSvy9lKRI2,21,10,6LlFw8LxQeQNcSvy9lKRI2,0.685,0.683,0.0459,https://api.spotify.com/v1/audio-analysis/6LlFw8LxQeQNcSvy9lKRI2,228500,6LlFw8LxQeQNcSvy9lKRI2,0.0,1,0.0885,-7.49,0,0.239,167.968,4,https://api.spotify.com/v1/tracks/6LlFw8LxQeQNcSvy9lKRI2,audio_features,spotify:track:6LlFw8LxQeQNcSvy9lKRI2,0.0919,"['canadian folk', 'canadian pop', 'electropop', 'indie poptimism']"
